name,time,commt,,
ABC News,8-Mar,"At least 21 civilians, including two children, were killed by a Russian airstrike in Ukraine's northeastern city of Sumy on Monday night, according to the regional prosecutor's office. https://abcn.ws/3txnOPC",0,
ABC News,8-Mar,"LATEST: While the U.S. welcomes Russia's declaration of a temporary cease-fire in several besieged areas of Ukraine, Pentagon Press Sec. John Kirby tells ",2,
ABC News,8-Mar,"BREAKING: Pres. Biden will announce the U.S. will ban imports of Russian oil, source tells ",1,
ABC News,8-Mar,"As millions of people flee Ukraine amid intensifying attacks from Russia, inside a state-run orphanage in Lviv, dozens of children remain.",0,
ABC News,8-Mar,Video shows broken windows and debris in shopping district in Kharkiv amid Russia's continued assault on the country. https://abcn.ws/3tKs8LD,0,
ABC News,8-Mar,Analysts say a coordinated move on Russian oil by the U.S. and European allies would drastically alter supply to the critical European market—and oil traders expect it will take time for other countries to ramp up production to fill the void.,1,
ABC News,8-Mar,"How far Russian Pres. Vladimir Putin will go, how much longer Ukrainian forces can hold out and what exactly it would take to end the conflict are key questions in the war.",0,
ABC News,8-Mar,China’s exports rose by double digits in January and February before Russia’s attack on Ukraine roiled the global economy.,0,
ABC News,8-Mar,"Rescue crews sift through the rubble following a deadly airstrike in Sumy, Ukraine. https://abcn.ws/3IVflw6",0,
ABC News,8-Mar,"LATEST: At least 21 civilians, including two children, were killed by a Russian airstrike in Ukraine's northeastern city of Sumy on Monday night, according to the regional prosecutor's office. https://abcn.ws/3CqeDo5",0,
ABC News,8-Mar,"DEVELOPING: Poland says it will provide fighter jets to Ukraine, a surprise reversal of its previous stance.",1,
ABC News,8-Mar,"NEW: Energy giant Shell says that it will stop buying Russian oil and natural gas and shut down its service stations, aviation fuels and other operations in the country.",1,
ABC News,8-Mar,BREAKING: Coca-Cola announces the company is joining McDonald’s and Starbucks in suspending their operations in Russia. https://abcn.ws/3HRZq03,0,
ABC News,8-Mar,"JUST IN: McDonald’s ""has decided to temporarily close all our restaurants in Russia and pause all operations in the market,"" the company announces. https://abcn.ws/3tJgvEm",0,
ABC News,8-Mar,"About 8% of U.S. imports of crude oil and petroleum products came from Russia last year, according to preliminary U.S. government data; 3% of U.S. oil came from Russia.",1,
ABC News,8-Mar,MORE: Pres. Biden announced that the U.S. will ban imports of Russian oil and other energy products.,1,
ABC News,9-Mar,"'STRIPPED OF OUR FINANCES': Russian tourists away from home are feeling the pinch of international sanctions over the invasion of Ukraine, leaving them unable to access their money. https://abcn.ws/3pMR5Vy",0,
ABC News,9-Mar,"Video released by Ukrainian Pres. Zelenskyy shows the ruins of a children's hospital in Mariupol, Ukraine, blamed on Russian airstrikes. https://abcn.ws/3vTWn5a",0,
ABC News,8-Mar,The United States will ban imports of Russian oil and other energy products. ,1,
ABC News,8-Mar,"Pres. Biden announces U.S. ban on Russia oil imports: ""The American people will deal another powerful blow to Putin's war machine."" https://abcn.ws/3HUbn5A",1,
ABC News,8-Mar,"CIA Director William Burns, a former U.S. ambassador to Moscow who has studied Putin for years, concurred that the Russian president is ""angry and frustrated"" by the situation in Ukraine, and will likely step up his efforts. https://abcn.ws/3CosgUO",1,
ABC News,9-Mar,"After the shelling began in her hometown of Kharkiv, 10-year-old Annamaria Maslovska left her friends, her toys, and her life in Ukraine and set off on a two-day journey with her mother to Hungary. https://abcn.ws/3CqhIEI",0,
ABC News,9-Mar,"Amid the Russian invasion of Ukraine and the resulting humanitarian crisis, U.S.-based businesses with ties to Ukraine have seen an influx of support from their local communities.",0,
ABC News,8-Mar,"On International Women’s Day, first lady Dr. Jill Biden recognizes “sisters” from Ukraine and Russia.⁠",0,
ABC News,9-Mar,"The Pentagon, for the second day in a row, has rejected a plan by Poland to provide Ukraine with its Soviet-era warplanes through U.S. hands, saying the proposal would risk wider war between Russia and NATO.",0,
ABC News,9-Mar,"""You must not look away. You must stop Putin's war.""",0,
ABC News,9-Mar,"Asked if Pres. Biden “would cut red tape” for companies to drill more oil in U.S., White House press sec. Jen Psaki says, ""What red tape needs to be cut when they have the permits?""",1,
ABC News,9-Mar,Vice President Kamala Harris’ trip to Warsaw to thank Poland for taking in Ukrainians fleeing Russia’s invasion is taking an unexpected turn.,0,
ABC News,9-Mar,"LATEST: Russia could use chemical or biological warfare as it escalates its attack on Ukraine, White House press secretary Jen Psaki says in a statement to ",0,
ABC News,9-Mar,Some Republicans have been lashing out at the Biden administration for its decision to ban Russian oil imports amid a chorus of bipartisan calls to do so.,1,
ABC News,8-Mar,McDonald’s has decided it is temporarily closing all of its 850 restaurants in Russia in response to the country's invasion of Ukraine. https://abcn.ws/3CnmOla,0,
ABC News,9-Mar,"Children represent around half of the more than 2 million people that have fled the war in Ukraine, an exodus that the U.N. refugee agency has called the fastest-growing refugee crisis in Europe since World War II. https://abcn.ws/3IXNtaG",0,
ABC News,9-Mar,Congressional leaders have reached a bipartisan deal to provide $13.6 billion to help Ukraine fend off its invasion by Russia and assist European allies coping with the continent's worst refugee crisis since World War II.,0,
ABC News,8-Mar,The World Bank says its board approved a package of loans and guarantees for Ukraine totaling $723 million. https://abcn.ws/3pPXoYa,1,
ABC News,9-Mar,"Even though Russia has lost influence and friends since the collapse of the Soviet empire in 1989, the nuclear superpower still holds sway over several of its neighbors in Europe.",0,
ABC News,8-Mar,Is Vladimir Putin actually popular in Russia? ,0,
ABC News,9-Mar,Twin Ukrainian boys who were born shortly after Russia began its attack in the country have been safely evacuated to Poland.,0,
ABC News,9-Mar, A wounded member of Ukraine's armed forces smokes after a battle with Russian troops and Russia-backed separatists in the Lugansk region. https://abcn.ws/3Kr4Dhh,0,
ABC News,10-Mar,"People in Budapest, Hungary, held candles and sang at a vigil calling for an end to the conflict in Ukraine. https://abcn.ws/364Ydp6",0,
ABC News,10-Mar,"""This wasn't my plan. I was planning to come back home.""",0,
ABC News,10-Mar,"“Ukraine will never, never be a victory for Putin,"" Pres. Joe Biden says during bilateral meeting with Colombian President Iván Duque Márquez. http://abcn.ws/3C4R9oh",0,
ABC News,10-Mar,"Over 2 million have fled Ukraine, while some stayed to fight—or just survive.",0,
ABC News,10-Mar,"NEW: Russian military alleges that its forces have managed to capture more of the outer neighborhoods of Mariupol, in southeastern Ukraine, saying the operation to ""liberate"" the strategic port city is ongoing.",1,
ABC News,10-Mar,LATEST: Top diplomats from Russia and Ukraine fail to reach a deal for a cease-fire during talks in Turkey.,1,
ABC News,10-Mar,This four-star hotel in Romania has turned its lavish ballroom into a makeshift refugee shelter for some of the thousands crossing the borders from neighboring Ukraine each day. https://abcn.ws/3pMTrni,0,
ABC News,10-Mar,"Video from Lubin, in the Poltava region of Ukraine, shows people arriving to the town in buses from the Sumy region and getting on trains to head farther west, as part of the large-scale evacuation. https://abcn.ws/3ChkHiM",0,
ABC News,10-Mar,U.S.-Russian space station partnership in jeopardy over Ukraine invasion.,0,
ABC News,9-Mar,"Video released by Ukrainian Pres. Zelenskyy shows the ruins of a children's hospital in Mariupol, Ukraine, blamed on Russian airstrikes. https://abcn.ws/35IPid2",0,
ABC News,10-Mar,"Ukraine Emergency Services released video of the aftermath of an EMS building hit in Mariupol, Ukraine. https://abcn.ws/3hV5QRB",0,
ABC News,10-Mar,"Ukraine’s emergency services has released video that they claim shows their personnel defusing an unexploded bomb in Chernihiv, Ukraine with the aid of a bottle of water. https://abcn.ws/3t0CdVx",0,
ABC News,10-Mar,"The House on Wednesday approved measures to ban Russian energy products, provide billions in assistance to Ukraine and fund the government through the fall. https://abcn.ws/3IZQyaf",1,
ABC News,10-Mar,"Colleges across the U.S. are pulling students from study abroad programs in Russia, ending research partnerships and cutting financial ties as part of a global wave of condemnation over the invasion of Ukraine.",1,
ABC News,10-Mar,"A 33-year-old teacher remains in Ukraine's southeastern city, Mariupol, to care for children trapped there amid the conflict.",0,
ABC News,10-Mar,"At least three people, including a child, were killed in an airstrike on a children's hospital in Mariupol, Ukraine, according to Ukrainian Pres. Zelenskyy. Another 17 people, including women, children and medical workers, were wounded, he said. https://abcn.ws/37acsJI",0,
ABC News,10-Mar,"For some European countries watching Russia's brutal war in Ukraine, there are fears that they could be next.",1,
ABC News,10-Mar,"CIA Director William Burns told lawmakers that Russian Pres. Vladimir Putin continues to agree to settlement talks with Ukraine for tactical reasons because he ""does not have a sustainable end game"" for his invasion.",2,
ABC News,10-Mar,"Ukraine's second-largest city, Kharkiv, hit with several powerful airstrikes overnight that killed at least four people, local authorities say. https://abcn.ws/3Cw1wBS",0,
ABC News,10-Mar,"Ukraine’s attempt to get Russia kicked off the internet failed, but a diverse group of experts proposes a more narrow approach to sanctioning the Kremlin for invading its neighbor.",0,
ABC News,9-Mar,"Proposals for a “gas tax holiday” to counter inflation had been moving slowly in Congress and state capitols before Russia invaded Ukraine, but they have gained momentum this week.",2,
ABC News,10-Mar,Vice Pres. Kamala Harris praises the Polish people for their generosity for taking in more than 1 million refugees since Russia invaded Ukraine last month.,0,
ABC News,10-Mar,"LATEST: Ukraine's second-largest city, Kharkiv, hit with several powerful airstrikes overnight that killed at least four people, local authorities say. https://abcn.ws/35Gz3NV",0,
ABC News,10-Mar,Russia’s invasion of Ukraine has given the smaller nation’s embassy in Washington an unexpected role: recruitment center for Americans who want to join the fight.,1,
ABC News,10-Mar,Western sanctions are dealing a severe blow to Russia's economy.,1,
ABC News,10-Mar,"Ten South African students who fled Ukraine after Russia’s invasion of that country have arrived home Thursday, with 25 more expected over the next few days.",0,
ABC News,10-Mar,JUST IN: Goldman Sachs announced that it will be shutting down its operations in Russia.,0,
ABC News,10-Mar,"As more than 2 million refugees from Ukraine begin to scatter throughout Europe and beyond, some are carrying valuable witness evidence to build a case for war crimes.",0,
ABC News,11-Mar,"Ukrainian Emergency Services release video of crews responding to attack in Dnipro, Ukraine. https://abcn.ws/3pTXtKw",0,
ABC News,11-Mar,"BREAKING: Pres. Biden announced that in conjunction with other G-7 nations and the European Union, the U.S. will move to revoke ""most favored nation"" trade status for Russia.",1,
ABC News,11-Mar,"JUST IN: Pres. Biden says U.S. and allies are taking steps to deny most favored nation status to Russia, calling it ""another crushing blow to the Russian economy that's already suffering very badly from our sanctions."" https://abcn.ws/35MUgVY",1,
ABC News,10-Mar,This four-star hotel in Romania has turned its lavish ballroom into a makeshift refugee shelter for some of the thousands crossing the borders from neighboring Ukraine each day. https://abcn.ws/3vU1p1K,0,
ABC News,11-Mar,"At least 2,504,893 people have fled Ukraine to neighboring countries since Russian forces invaded the eastern European country on Feb. 24, according to the United Nations refugee agency, UNHCR. https://abcn.ws/3tOj602",0,
ABC News,11-Mar,"While Pres. Biden has repeatedly said the U.S. will not send troops to Ukraine to fight Russia, he warned today that ""Russia would pay a severe price"" if it used chemical weapons in Ukraine—raising questions over what those consequences would look like.",1,
ABC News,11-Mar,"Pres. Biden: ""The oil company and the executives—they don't want to pump more oil, although they have every capacity to do so.""",1,
ABC News,11-Mar,UKRAINE LATEST: Russian President Putin has ordered his defense minister to assist “volunteer” fighters to travel to Ukraine to join Russian forces there.,1,
ABC News,11-Mar,"Russian forces continue their push into Ukraine more than two weeks into the war, inching closer to the capital of Kyiv. https://abcn.ws/3J41yDx",1,
ABC News,11-Mar,"Pentagon press sec. says the U.S. doesn't have ""firm indications"" Russia is planning a so-called ""false flag"" operation to justify use of chemical or biological weapons, but that it is something officials think ""could happen that we want to watch out for.""",0,
ABC News,11-Mar,The U.N. Security Council will meet Friday at Russia’s request to discuss what Moscow claims are “the military biological activities of the U.S. on the territory of Ukraine.”,0,
ABC News,10-Mar,People cling to their pets as they flee Russia's invasion of Ukraine. https://abcn.ws/37f5gMp,0,
ABC News,11-Mar,"""We will not let autocrats and would-be emperors dictate the direction of the world,"" Pres. Biden says as he announces U.S. and allies will move to revoke ""most favored nation"" trade status for Russia. https://abcn.ws/3J8zUoM",1,
ABC News,11-Mar,"LATEST: Russia kidnapped mayor of occupied Ukrainian city who resisted takeover, Ukraine official says. https://abcn.ws/37q5Y9V",0,
ABC News,11-Mar,"A girl played her family's piano in Kharkiv, Ukraine, as they prepared to evacuate their home amid Russian attacks.",0,
ABC News,10-Mar,"The two women had never met in a real life, but through social media they found a common interest: helping Africans students stranded in Ukraine during the Russian invasion.",0,
ABC News,11-Mar,"JUST IN: ""Russia would pay a severe price if they used chemical weapons,"" Pres. Biden says.",0,
ABC News,11-Mar,Russia's airstrike on a children's and maternity hospital in Ukraine is stirring memories of the Kremlin's past aerial campaigns waged in Chechnya and Syria.,0,
ABC News,11-Mar,"Russian forces are continuing their attempted push through Ukraine from multiple directions, while Ukrainians, led by President Volodymyr Zelenskyy, are putting up ""stiff resistance,"" according to U.S. officials.",1,
ABC News,11-Mar,"President Joe Biden will announce Friday that along with the European Union and the Group of Seven countries, the U.S. will move to revoke “most favored nation” trade status for Russia over its invasion of Ukraine.",1,
ABC News,11-Mar,"Defense Minister Sergei Shoigu said Russia knew of “more than 16,000 applications” from countries in the Middle East, many of them from people who he said helped Russia against the Islamic State group, according to a Kremlin transcript.",0,
ABC News,11-Mar,"The Russian invasion of Ukraine has entered its third week, forcing more than 2.3 million people to flee the country as others try to seek refuge in basements, subway stations and underground shelters.",0,
ABC News,11-Mar,A woman in Ukraine gave birth after surviving a Russian airstrike on a children's hospital and maternity ward. https://abcn.ws/36bN0TC,0,
ABC News,11-Mar,"Russia is doubling down on its false claims that the U.S. and Ukraine are developing chemical or biological weapons for use against invading Russian forces, bringing the accusation to the United Nations Security Council on Friday.",0,
ABC News,11-Mar,Explosion seen in an apartment building in Mariupol amid Russia's continued war on Ukraine. ,0,
ABC News,12-Mar,"LATEST: The Ukrainian government says Russia’s military has shelled a mosque sheltering more than 80 people, including children, in the besieged city of Mariupol.",1,
ABC News,12-Mar,Ukraine rescue workers respond to a damaged residential building in Kharkiv amid Russia's ongoing attacks. https://abcn.ws/3w2MToq,0,
ABC News,11-Mar,The White House has said that evidence is mounting that Russia’s attack in Ukraine will result in war crimes. https://abcn.ws/3J41yDx,1,
ABC News,11-Mar,The State Department is warning Americans of the risks of traveling to Ukraine to join in the fight against Russian troops.,0,
ABC News,12-Mar,Russian forces appear to be making progress from the northeast in their slow fight toward Ukraine’s capital,1,
ABC News,12-Mar,"Vice Pres. Kamala Harris emphasizes U.S. commitment to defend NATO at DNC Winter Meeting: ""Russia's invasion threatens not just Ukraine's democracy, it threatens democracy and security across Europe... it threatens us all."" https://abcn.ws/3vXpUuZ",1,
ABC News,11-Mar,"Russian military planes are flying an average of 200 sorties per day, compared to only about 10 per day flown by Ukraine, according to a senior U.S. defense official.",0,
ABC News,11-Mar,"As the war in Ukraine continues, one office inside the Commerce Department in Washington is at the crossroads of innovation and national security when it comes to sanctions on Russia.",1,
ABC News,12-Mar,"The two women had never met in a real life, but through social media they found a common interest: helping African students stranded in Ukraine during the Russian invasion.",0,
ABC News,12-Mar,"Russia's baseless claims about secret American biological warfare labs in Ukraine are taking root in the U.S. too, uniting COVID-19 conspiracy theorists, QAnon adherents and some supporters of ex-President Donald Trump.",0,
ABC News,12-Mar,: Children in London hold up signs protesting Russia's invasion of Ukraine.,0,
ABC News,12-Mar,"At first, the White House resisted calls from Congress to ban Russian oil imports to the U.S. And then, it did just that.",1,
ABC News,11-Mar,"The Treasury Department has announced new sanctions against Russia, targeting bankers, state officials, oligarchs and the family of Kremlin spokesman Dmitry Peskov.",0,
ABC News,12-Mar,A woman in Ukraine gave birth after surviving a Russian airstrike on a children's hospital and maternity ward. https://abcn.ws/3I7y06u,0,
ABC News,13-Mar,"A wounded U.S. journalist in Kyiv, Ukraine, gives account of attack that he says injured him and killed photographer and filmmaker Brent Renaud. https://abcn.ws/3J7YgPr",0,
ABC News,13-Mar,"MORE: American journalist and photographer Brent Renaud was killed in Ukraine, Kyiv's police chief confirmed in a Facebook post.",0,
ABC News,13-Mar,"Americans overwhelmingly support the White House's proposed ban on Russian oil, though they remain very critical of Pres. Biden's handling of the economy, in general, and inflation, in particular, according to a new ",1,
ABC News,13-Mar,"BREAKING: Americans overwhelmingly support the White House's proposed ban on Russian oil, though they remain very critical of Pres. Biden's handling of the economy, in general, and inflation, in particular, according to a new ",1,
ABC News,12-Mar,"Through social media, two women who never met found a common interest: helping African students stranded in Ukraine during the Russian invasion.",0,
ABC News,13-Mar,"BREAKING: Brent Renaud, a past contributor to the New York Times, photographer and filmmaker, has been killed in Ukraine, the newspaper confirmed. He was not on assignment for The Times when he was killed, according to a statement from the news outlet.",0,
ABC News,13-Mar,Italian paper mills that make everything from pizza boxes to furniture packaging ground to a halt as Russia's war in Ukraine has sent natural gas prices skyrocketing.,0,
ABC News,13-Mar,"Ukrainian Pres. Zelenskyy visited a military hospital, meeting with medics and injured soldiers, presenting medals for their service amid Russia's invasion of the country. https://abcn.ws/36cl6qH",0,
ABC News,13-Mar,Many Jews are among the more than 2.5 million refugees leaving Ukraine.,0,
ABC News,13-Mar,"Russian forces struck a military training base in western Ukraine, bringing their offensive closer to the border with Poland.",0,
ABC News,12-Mar,Sergiy Stakhovsky is a recently retired professional tennis player from Ukraine who has left his wife and three young children at home in Hungary to go back to his birthplace to help how he can during Russia’s invasion.,0,
ABC News,13-Mar,"Tens of thousands of people are expected to gather in cities across Europe to protest against the ongoing war in Ukraine, with small rallies taking place in Russia as well despite a crackdown by authorities against such demonstrations.",1,
ABC News,13-Mar,"Across the border from war-engulfed Ukraine, tiny, impoverished Moldova—an ex-Soviet republic now looking eagerly Westward—has watched with trepidation as the Russian invasion unfolds",0,
ABC News,12-Mar,"Thousands of Russian tourists are stranded in Thailand’s beach resorts because of the war in Ukraine, many unable to pay their bills or return home because of sanctions and canceled flights.",0,
ABC News,14-Mar,“NEVER LOSE HOPE”: Tens of thousands of people gathered in cities across Europe to protest against the ongoing war in Ukraine. https://abcn.ws/3w4zxrH,0,
ABC News,14-Mar,Video shot by American volunteer fighter shows aftermath of Russian strikes on Yavoriv military base in Ukraine. https://abcn.ws/37ob5Hv,0,
ABC News,14-Mar,Mangled buildings and burned cars seen on debris-strewn streets as ongoing attacks in Ukraine’s second-largest city Kharkiv continue to damage civilian areas. https://abcn.ws/3w4zxrH,0,
ABC News,14-Mar,The State Dept. is warning China that the U.S. is watching for any country coming to the aid of Russia. ,0,
ABC News,14-Mar,The live main evening news program on Russia’s state news channel was briefly interrupted by a woman who walked into the studio holding a poster against the war in Ukraine.,0,
ABC News,14-Mar,"Pentagon press sec. John Kirby on Russian airstrike at a military facility in western Ukraine: ""We know that several structures were hit...This is now the third significant strike in western Ukraine."" http://abcn.ws/3J41yDx",0,
ABC News,14-Mar,Russian missile strike near Ukraine's border with Poland over the weekend raises tough questions for Pres. Biden.,0,
ABC News,14-Mar,"LATEST: Pfizer says it won't stop delivering medicine to Russia, but will donate all profits from Russia to humanitarian support for Ukraine.",0,
ABC News,14-Mar,"A Fox News correspondent was injured in Ukraine, a day after the death of a freelance journalist also covering the Russia invasion.",0,
ABC News,14-Mar,"Russian attacks on Ukraine will increase, with the western city of Lviv among potential targets, senior U.S. official tells ",0,
ABC News,14-Mar,"LATEST: Ukraine presidential adviser tweets that Ukraine and Russia are taking a ""technical pause"" in negotiations until Tuesday.",1,
ABC News,14-Mar,"DEMONSTRATION OF HARMONY: Opera singers gather in the center of Lviv, western Ukraine, for a stirring rendition of the country’s national anthem. https://abcn.ws/3w4zxrH",0,
ABC News,14-Mar,"Residential building reduced to rubble in central Kharkiv, Ukraine’s State Emergency Service says. https://abcn.ws/3w4zxrH",0,
ABC News,14-Mar,"LATEST: Fourth round of talks between Russia and Ukraine due to begin today, following optimistic comments from both sides over the weekend that they are moving towards a compromise.",2,
ABC News,13-Mar,": A child pets a cat while waiting on a bus for refugees fleeing Russia's invasion of Ukraine, in Lviv.",0,
ABC News,13-Mar,"A wounded U.S. journalist in Kyiv, Ukraine, gives account of attack that he says injured him and killed photographer and filmmaker Brent Renaud. https://abcn.ws/3KLCPV7",0,
ABC News,14-Mar,Footage shows demonstrators singing the Ukrainian anthem in Melitopol. Russia’s defense ministry claims the city is under “full control of the Russian side.” https://abcn.ws/3i4zVyg,0,
ABC News,14-Mar,"LATEST: More than 2.8 million people have fled Ukraine since Russia invaded, the U.N. Refugee Agency says. https://abcn.ws/3JbRmcc",0,
ABC News,14-Mar,"More than 2.8 million people have fled Ukraine since Russia invaded, the U.N. Refugee Agency says. https://abcn.ws/3i6v2EQ",0,
ABC News,14-Mar,"The ongoing Russian war on Ukraine has become “nothing short of a nightmare” for those living in besieged cities, top Red Cross official says.",0,
ABC News,14-Mar,Germany's finance minister proposes a “crisis discount” to dampen the impact of recent fuel price hikes due to the war in Ukraine.,0,
ABC News,14-Mar,"A pregnant woman and her unborn child who were evacuated from a bombed children's hospital and maternity ward in Mariupol, Ukraine, have died, according to the Ukrainian Ministry of Foreign Affairs.",0,
ABC News,14-Mar,Footage shows demonstrators singing the Ukrainian anthem in Melitopol. Russia’s defense ministry claims the city is under “full control of the Russian side.” https://abcn.ws/3q46XmE,0,
ABC News,15-Mar,"Firefighters extinguish blazes in an apartment building hit by shelling in Kyiv, Ukraine, amid Russia's ongoing war against the eastern European country. ",0,
ABC News,15-Mar,"A series of Russian strikes hit a residential neighborhood of Ukraine’s capital, igniting a huge fire and frantic rescue effort in a 15-story Kyiv apartment building. https://abcn.ws/3w4zxrH",0,
ABC News,15-Mar,"BREAKING: Fox News cameraman Pierre Zakrzewski has been killed in Ukraine, according to Fox News.",0,
ABC News,15-Mar,"JUST IN: European Union Council imposes fourth package of economic and individual sanctions, including restricting the export of luxury goods to Russia and banning new investments in Russia's energy sector.",1,
ABC News,15-Mar,"DEMONSTRATION OF HARMONY: Opera singers gather in the center of Lviv, western Ukraine, for a stirring rendition of the country’s national anthem. https://abcn.ws/36fleFY",0,
ABC News,15-Mar,"Demonstrators marched through the streets of Kherson, Ukraine, to protest against Russian attacks on Ukraine and the presence of Russian forces in the city. https://abcn.ws/3IeTjTI",0,
ABC News,15-Mar,"NEW: In retaliation for sanctions from the U.S., Russia’s foreign ministry has announced personal sanctions against Pres. Biden and many top administration officials. https://abcn.ws/3CIHpk1",0,
ABC News,15-Mar,"""There is no path to victory for Russia because the Ukrainian people will continue to resist.""",0,
ABC News,15-Mar,“NEVER LOSE HOPE”: Tens of thousands of people gathered in cities across Europe to protest against the ongoing war in Ukraine. https://abcn.ws/3I6BZjS,0,
ABC News,15-Mar,Thousands have evacuated the Ukrainian city of Mariupol during a pause in attacks from Russia.,0,
ABC News,15-Mar,"While tens of thousands of people have fled Ukraine every day since Russia's invasion, a small but growing number are heading in the other direction.",0,
ABC News,15-Mar,"Marina Ovsyannikova, the woman who crashed Russia’s state news broadcast on Monday night to protest the war, was fined 30,000 roubles, or around $280, and released on Tuesday.",0,
ABC News,14-Mar,"NEW: Ukrainian Pres. Zelenskyy updates status of negotiations with Russia in address, saying latest talks went ""pretty good"" and will continue tomorrow.",2,
ABC News,15-Mar,"Ukrainian producer and fixer, 24-year-old Oleksandra Kuvshynova, who was working for Fox News during the war, was also killed in the shelling, according to the United Nations Educational, Scientific and Cultural Organization.",0,
ABC News,15-Mar,"JUST IN: Number of refugees from Ukraine tops 3 million, according to the U.N. High Commissioner for Refugees. https://abcn.ws/3tdm3Io",0,
ABC News,15-Mar,"Ukrainian Pres. Volodymyr Zelenskyy is set to deliver a historic, virtual address to Congress tomorrow to plead with the U.S. to do more to help stop Russia's invasion of Ukraine.",0,
ABC News,15-Mar,The urgent CAS ruling — an interim judgment pending a full appeal hearing likely in the weeks ahead — does not apply to Russia’s chances of being reinstated for World Cup qualifying.,0, 
