,Date,name,label,commt
57,2022-03-25,Reuters,1,chinas state-run sinopec group has suspended talks for a major petrochemical investment and a gas marketing venture in russia sources told 
58,2022-03-25,Reuters,1,the matsu islands represent taiwans frontline of democracy under the looming threat of its massive more powerful neighbor mainland china and residents there say russias invasion of ukraine has struck a nerve 
59,2022-03-24,Reuters,0,natalia shaposhnik and her daughter have lived in a train carriage beneath kharkiv since russias invasion began âone can say our living conditions are better than othersâ shaposhnik said  one month into war here is how many ukrainians are living 
60,2022-03-24,Reuters,2,at an unprecedented triple summit in brussels transatlantic alliance nato g7 rich nations and european leaders called for humanitarian aid for ukraine and denounced moscows invasion of its neighbour as barbarism 
61,2022-03-25,Reuters,0,russias national settlement depository says clearstream is blocking its account -ifx 
62,2022-03-25,Reuters,2,moscow signaled it was scaling back its ambitions in ukraine to focus on territory claimed by russian-backed separatists as ukrainian forces went on the offensive recapturing towns on the outskirts of the capital kyiv 
63,2022-03-25,Reuters,0,cameroonian calep gabila was one among a group of african students who escaped ukraine after russia invaded the country now in frankfurt gabila and others detailed the discrimination and violence they say they encountered
64,2022-03-25,Reuters,0,ukraine and russia what you need to know right now 
65,2022-03-25,Reuters,2,commodities traders have helped keep russias oil flowing through its baltic and black sea ports in march when some western firms started to snub the market according to ship tracking traders and shipping sources
66,2022-03-25,Reuters,0,us sees russia focusing on eastern ukraine senior us defense official says 
67,2022-03-24,Reuters,0,russia more of a burden to china after ukraine invasion- pentagon official 
68,2022-03-25,Reuters,1,analysis when it comes to oil the global economy is still hooked 
69,2022-03-25,Reuters,2,german ministry wants to halve dependence on russian oil by summer -spiegel 
70,2022-03-25,Reuters,2,commodities trading houses help keep russian oil flowing 
71,2022-03-25,Reuters,0,kremlin says us talk of russia using chemical weapons a tactic to divert attention 
72,2022-03-25,Reuters,2,one month after russia sent a massive invasion force into ukraine expecting a rapid victory moscow signaled it was scaling back its military ambitions 
73,2022-03-25,Reuters,1,a huge plume of black smoke could be seen rising over the red sea city after yemens houthis launched attacks on saudi energy facilities hitting oil giant aramcos petroleum products distribution station in jeddah and causing a fire in two storage tanks 
74,2022-03-25,Reuters,2,as ukraine forces counter near kyiv russia scales back goals 
75,2022-03-25,Reuters,2,cellist denys karachevtsev brings music to the empty streets of ukraines kharkiv as he plays bachâs âcello suite no5 in c minorâ in front of a bombed building
76,2022-03-25,Reuters,0,ukraine launches nft museum of war in crypto crowdfunding push 
77,2022-03-25,Reuters,2,fitch withdraws russias ratings to comply with eu sanctions 
78,2022-03-28,Reuters,1, stories you need to know today president volodymyr zelenskiy insists on ukraines territorial integrity ahead of further peace talks with russia
79,2022-03-28,Reuters,1, âwar means tough choices in ukraines vast child protection systemâ by 
80,2022-03-28,Reuters,1,putin does not seem ready for compromise on ukraine -us official 
81,2022-03-28,Reuters,1,"ukraine talks to resume kremlin calls biden remarks ""alarming"" "
82,2022-03-28,Reuters,1,apple plans to cut the output of its iphones and airpods as the ukraine crisis and inflation start to weigh on demand for consumer electronics according to a media report 
83,2022-03-28,Reuters,2,indias ongc sells russias sokol oil to indian refiners- sources 
84,2022-03-28,Reuters,2,with peace talks between russia and ukraine set to take place in turkey this week ukrainian president volodymyr zelenskiy has insisted on the territorial integrity of his country after earlier suggesting he was ready for a compromise 
85,2022-03-28,Reuters,0,wealthy russians are pouring money into real estate in turkey and the united arab emirates both countries have criticized russias invasion of ukraine but they still have good ties with moscow 
86,2022-03-28,Reuters,1,wheat shortages and increasing global fuel prices following the war in ukraine have left thousands of tunisians under further strain in a country already struggling with political deadlock and a public finance crisis
87,2022-03-28,Reuters,0,apple is planning to lower iphone and airpod production due to a demand slowdown caused by the ukraine crisis and rising inflation the nikkei newspaper reported 
88,2022-03-28,Reuters,0,chinas dji rejects claim that russian military uses its drones in ukraine 
89,2022-03-28,Reuters,2,oil hit by shanghai shutdown yen sinks as boj defies the yield tide 
90,2022-03-28,Reuters,0,as war rages in ukraine citizens in tunisia wander between empty supermarket shelves and bread line ups amid a deepening political and financial crisis impacting the country
91,2022-03-28,Reuters,0,analysis bidens putin power remark raises questions about long-term russia strategy 
92,2022-03-28,Reuters,2,live britains ben wallace liz truss speak on ukraine in parliament
93,2022-03-28,Reuters,0,russias novaya gazeta paper suspends activity after second warning 
94,2022-03-28,Reuters,1,russia will not supply gas to europe for free kremlin says 
95,2022-03-28,Reuters,1,russia to restrict visas for people from unfriendly countries 
96,2022-03-28,Reuters,0,before russias invasion ukraine had 100000 children living in nearly 700 state shelters boarding schools and baby homes according to un childrens agency unicef 28
97,2022-03-28,Reuters,2,ukraine receives a mostly silent salute at oscars ceremony 
98,2022-03-28,Reuters,1,breaking nearly 5000 people have been killed in the siege of ukraines mariupol the mayors office says 
99,2022-03-28,Reuters,1,breakingviews - russiaâs gold reserves buy putin a few options
100,2022-03-28,Reuters,1,rocket strikes oil depot in ukraines northwestern rivne region says governor 
101,2022-03-28,Reuters,0,oil producers as superheroes is not how it works uae minister says 
102,2022-03-28,Reuters,2,uae will work with opec+ to stabilise oil market says energy minister 
103,2022-03-28,Reuters,0,live un secretary-general guterres speaks about ukraine at un stakeout
104,2022-03-28,Reuters,2,greece says it can boost sunflower oil production if needed 
105,2022-03-28,Reuters,0,ukraine intelligence publishes names of 620 alleged russian agents 
106,2022-03-28,Reuters,0,the ministry for social policy said 179 state homes â roughly a quarter of the total â had been evacuated as of march 19 and caregivers face tough choices over whether to reunite children with parents or guardians if it gets them further from the war zone 58
107,2022-03-28,Reuters,1,ukraines vast state childcare program a legacy of the governments prominent role in society during soviet times is struggling as war forces thousands to flee their homes often making tracing relatives impossible  18
108,2022-03-28,Reuters,0,taiwan sees ukraine war helping chinese yuans internationalisation 
109,2022-03-28,Reuters,1,morning bid the war in ukraine hard-pressured supply chains a resurgent pandemic amid buoyant inflation is making this monetary tightening cycle particularly hard to maneuver
110,2022-03-28,Reuters,1,uae says energy market needs russian oil 
111,2022-03-28,Reuters,1,nearly 5000 people killed in siege of ukraines mariupol - mayors office 
112,2022-03-28,Reuters,0,analysis locked russian assets add to war woes for british pension funds 
113,2022-03-28,Reuters,0,the children come from places where theres fighting lviv shelter director svitlana havryliuk told 
114,2022-03-28,Reuters,0,ukraine and russia what you need to know right now 
115,2022-03-29,Reuters,0,oligarch abramovich attending russia-ukraine talks in istanbul 
116,2022-03-29,Reuters,1,factbox global oil supply disruptions approaching 5-6 mln bpd 
117,2022-03-29,Reuters,1,florida governor ron desantis signs a bill limiting lgbtq instruction in schools russian billionaire roman abramovich attends the ukraine-russia talks in istanbul and more here are  stories you need to know today
118,2022-03-29,Reuters,0,russian hotel owner mikhail golubtsov says it was partly the shame he feels over russias invasion of ukraine that persuaded him and his family to take in ukrainians fleeing the fighting - 34 so far and counting
119,2022-03-29,Reuters,0,ukrainian tiktoker alina volik takes 
120,2022-03-28,Reuters,0,british intelligence says russias wagner group deployed to eastern ukraine 
121,2022-03-28,Reuters,0,us president joe biden said his remark that russian president vladimir putin should not remain in power reflected his own moral outrage at russias invasion of ukraine not a us policy shift 
122,2022-03-28,Reuters,2,us president joe biden submitted a $579 trillion budget plan to congress that calls for record peacetime military spending and further aid for ukraine while raising taxes for billionaires and companies and lowering government deficits 
123,2022-03-28,Reuters,2,ukraine said it was hoping that the first face-to-face peace talks with russia in over two weeks could lead to a ceasefire 
124,2022-03-29,Reuters,1,russia steps up economic retaliation with eurobond rouble buyback offer 
125,2022-03-29,Reuters,1,more than a month since russias invasion the defense of kyiv played out in ferocious fighting in villages near the capital when the histories are written such towns and villages may be minor details but they are where the russian advance was halted
126,2022-03-29,Reuters,1,ghanas small business owners fear a proposed electronic payments tax could price them out of the digital economy 
127,2022-03-29,Reuters,2,abramovich appears at ukraine-russia talks in istanbul 
128,2022-03-29,Reuters,0,russias transneft caps oil pipeline intake on brimming storage 
129,2022-03-29,Reuters,2,ukraine offers neutrality in exchange for nato-style security guarantees at russia talks 
130,2022-03-29,Reuters,0,seven killed in ukraines mykolaiv city as rocket blasts hole in regional headquarters 
131,2022-03-29,Reuters,2,live the un security council is briefed on ukraines humanitarian situation
132,2022-03-28,Reuters,2,air raid sirens sounded across ukraine before dawn as ukrainian and russian negotiators prepared to meet in turkey for face-to-face talks with kyiv seeking a ceasefire without compromising on territory or sovereignty 
133,2022-03-29,Reuters,1,oil prices rise on tight supplies stable demand 
134,2022-03-29,Reuters,1,russia accuses us of massive cyber aggression 
135,2022-03-29,Reuters,1,the world economy will be hit if oil supplies are threatened-saudi energy minister 
136,2022-03-29,Reuters,1,three killed in ukraines mykolaiv city as rocket blasts hole in regional hq 
137,2022-03-29,Reuters,0,just as ghanas small business owners begin to shift from cash-based sales many believe a proposed electronic payments tax locally known as the e-levy will price them out of the digital economy 
138,2022-03-29,Reuters,0,war knocks french german consumer morale back more than expected 
139,2022-03-29,Reuters,0,india buys russian sunoil at record high price as ukraine supplies halt 
140,2022-03-28,Reuters,0,us sees compliance even self-sanctioning on russia export controls in asia 
141,2022-03-28,Reuters,0,kremlin spokesman russia would use nuclear weapons only in case of threat to existence of state 
142,2022-03-29,Reuters,0,roche loses money in russia chief executive says 
143,2022-03-29,Reuters,2,russias transneft caps oil pipeline intake on brimming storage 
144,2022-03-29,Reuters,2,wall st climbs on russia-ukraine optimism 
145,2022-03-28,Reuters,1,russia said it will not supply gas to europe for free as it works out methods for accepting payments for its gas exports in roubles but g7 nations refused the demand 
146,2022-03-28,Reuters,2,oil drops on ukraine peace talk hopes china demand fears 
147,2022-03-29,Reuters,1,ukraines vast state childcare program a legacy of the governments prominent role in society during soviet times is struggling as war forces thousands to flee their homes and often makes tracing relatives impossible
148,2022-03-29,Reuters,0,petrochina taps shale oil in ageing western china field 
149,2022-03-28,Reuters,2,ukraine said it was hoping that peace talks with russia could lead to a ceasefire but a us official said president vladimir putin did not appear ready to make compromises to end the war 
150,2022-03-29,Reuters,1,russias gas supply to europe at risk as rouble deadline nears 
151,2022-03-29,Reuters,1,exclusive russian oil firm shuffles venezuela assets as sanctions bite 
152,2022-03-29,Reuters,1,french president macron told russias putin paying gas bills in roubles not possible - elysee official 
153,2022-03-29,Reuters,0, nearly four million people have fled ukraine since the beginning of the russian invasion on feb 24 each person that has left has a story 
154,2022-03-29,Reuters,2,asian shares gain as boj defends ultra-easy stance oil eases on shanghai lockdown 
155,2022-03-29,Reuters,2,russia promised at peace talks to drastically scale down its military operations around kyiv and the northern ukrainian city of chernihiv while ukraine proposed neutral status with international guarantees to protect it from attack 
156,2022-03-29,Reuters,1,seven killed in ukraines mykolaiv as rocket blasts hole in regional hq 
157,2022-03-29,Reuters,2,president joe biden said it remains to be seen whether russia follows through with any actions to scale down its military operations in ukraine saying washington and its allies will continue with strong sanctions and aid for ukraine 
158,2022-03-29,Reuters,1, the speed of the refugee crisis resulting from russiaâs invasion of ukraine has few modern precedents nearly 4 million people have fled ukraine a number almost too big to imagine each of them has a story  
159,2022-03-30,Reuters,2,germany triggered an emergency plan to manage gas supplies in europes largest economy an unprecedented move that could see the government ration power if there is a disruption or halt in gas supplies from russia 
160,2022-03-30,Reuters,1,exclusive russia to keep gas contract currency unchanged in rouble switch sources say 
161,2022-03-30,Reuters,0, as a groundskeeper at lychakiv cemetery its not normally stefan ivanchuks job to dig graves since the start of the war with russia all cemetery workers have been asked to help out as more young ukrainians die at the front and return in coffins  15
162,2022-03-30,Reuters,0,china hosts russia us officials for talks on afghanistan 
163,2022-03-30,Reuters,1,iraqi kurdish businessman says not involved in gas export talks regions capacity low 
164,2022-03-30,Reuters,0,world bank chief says gulf producers role critical in dampening oil volatility 
165,2022-03-30,Reuters,0,small groups of employees at microsoft sap and ibm have called for management to withdraw fully from russia in the wake of its invasion of ukraine according to comments on internal forums and interviews with workers familiar with the companies 
166,2022-03-30,Reuters,2,ed sheeran and camila cabello were among music stars who took to the stage at a televised concert aiming to raise funds for ukraine 
167,2022-03-29,Reuters,2,asia shares join global rally after ukraine-russia talks 
168,2022-03-30,Reuters,0,russia and china condemn western sanctions on moscow over ukraine - russia 
169,2022-03-30,Reuters,2,ukraine and its western allies dismiss a russian pullback from near kyiv as a ploy to refit troops germany triggers an emergency plan to manage gas supplies us president joe biden makes lynching a hate crime and more  stories you need to know today
170,2022-03-30,Reuters,1,warning graphic content - russian forces bombarded the outskirts of kyiv and a besieged city in northern ukraine after promising to reduce attacks 
171,2022-03-30,Reuters,1,from the latest on the crisis in ukraine to a law that makes lynching a hate crime in the us these are the  stories you need to know today
172,2022-03-30,Reuters,1,sri lanka suffers long power cuts lacks foreign currency to import fuel 
173,2022-03-30,Reuters,2,a us astronaut and two russian cosmonauts safely landed in kazakhstan after leaving the international space station aboard the same capsule despite heightened antagonism between moscow and washington over the conflict in ukraine 
174,2022-03-30,Reuters,0,find roubles if you want russian oil grain or metals top lawmaker says 
175,2022-03-30,Reuters,2,russia wont demand immediate switch to rouble gas payments kremlin says 
176,2022-03-30,Reuters,0, the now twice-weekly funerals of soldiers held at a church in the center of the city are one of the few reminders of war 
177,2022-03-30,Reuters,0, the new graves sit in an area reserved for ukraines war heroes workers will soon build tombstones like the rows marking the graves of soldiers who died in the years since russian forces annexed crimea and moscow-backed separatists seized parts of ukraineâs eastern region 25
178,2022-03-30,Reuters,2,chinas biggest offshore producer cnooc is preparing to exit the north seas largest field in a strategic shift of focus to newer oil and gas developments and away from western assets banking and industry sources said
179,2022-03-30,Reuters,2,electric vehicles are the star of the bangkok international motor show due to rising petrol prices and a government subsidy taking up to 15% off the price of some evs 
180,2022-03-30,Reuters,2,exclusive chinas cnooc plans north sea oil exit in strategic shift 
181,2022-03-30,Reuters,2,britain says russian units forced to return to belarus russia to resupply 
182,2022-03-30,Reuters,1,ukraine reacted with skepticism to russias promise in negotiations to scale down military operations around kyiv and another city as some western countries expected moscow to intensify its offensive in other parts of the country 
183,2022-03-30,Reuters,2,us considers adding more ethanol to gasoline to lower pump price -sources 
184,2022-03-29,Reuters,2,stocks on wall street rose lifted by signs of progress in peace talks between russia and ukraine while a widely tracked part of the treasury yield curve flashed warning signs for the economy as it inverted 
185,2022-03-30,Reuters,1,cracks widen in euro zone economy as war in ukraine rages on 
186,2022-03-30,Reuters,0,russian americans are sending their relatives in russia accounts of the war in ukraine produced by western and other media outlets that contrast with what russian state media is reporting
187,2022-03-30,Reuters,1,new front in ethiopian war displaces thousands hits hopes of peace talks 
188,2022-03-30,Reuters,2,music stars took to the stage at the âconcert for ukraineâ in birmingham to raise funds 
189,2022-03-30,Reuters,0,factbox what happens if russia turns off gas flows to germany 
190,2022-03-30,Reuters,1,dow s&p close lower after 4 days of gains as russia bombs ukraine 
191,2022-03-30,Reuters,2,eu readying new russia sanctions may retaliate over rouble payments for gas - sources 
192,2022-03-30,Reuters,1,shelling in almost all frontline cities in ukraines donetsk region local governor says 
193,2022-03-30,Reuters,1,since the start of the war with russia all of the workers at the lychakiv cemetery in the ukrainian city of lviv even the security guard have been asked to help out in digging graves as more young ukrainians die at the front and return home in coffins
194,2022-03-30,Reuters,2,scholz to zelenskiy germany ready to act as security guarantor for ukraine 
195,2022-03-30,Reuters,0,explainer mariupol a strategic prize for russia symbol of resistance for ukraine 
196,2022-03-29,Reuters,1,oil rebounds on tight supply prospects of new russia sanctions 
197,2022-03-30,Reuters,0,russias top lawmaker warned the european union that if it wanted russian natural gas then it would have to pay in roubles and cautioned that oil grain metals fertiliser coal and timber exports could also soon be priced the same way
198,2022-03-30,Reuters,1,germany declared an âearly warningâ  of a possible gas supply emergency saying the measure was designed to prepare for the risk of disruption or stoppage of natural gas flows from russia
199,2022-03-30,Reuters,1,breakingviews - china-us ties will degrade regardless of russia
200,2022-03-30,Reuters,1, a month into ukraines war with russia gravediggers of lviv mourn the dead
201,2022-03-30,Reuters,1,hackers who crippled tens of thousands of satellite modems in ukraine and across europe are still trying to hobble us telecommunications company viasat as it works to bring its users back online a company official told 
202,2022-03-30,Reuters,0, gravediggers of lviv mourn the dead a month into ukraines war with russia
203,2022-03-28,The Economist,0,europe gets around a quarter of its energy from gas in 2019 russia supplied over 40% of that gas
204,2022-03-01,The Economist,0,the people are anxious but united like never beforeâ on âthe intelligenceâ a war diary from a kharkiv resident reveals the brutal push for a city central to russias campaign 
205,2022-03-01,The Economist,0,after the annexation of crimea in 2014 and the sanctions that followed many foreign lenders cut or reduced their exposure to russia
206,2022-03-01,The Economist,2,some russians are joining the online protest against war in ukraine using the hashtag #ð½ðµñð²ð¾ð¹ð½ðµ which means âno warâ russian authorities have responded by tightening their grip on the internet 
207,2022-03-01,The Economist,0,recent data from russia have a dubious lack of variation
208,2022-03-28,The Economist,2,russiaâs propaganda machine has been struggling to keep reality at bay actors businessfolk and even some politicians are starting to speak out 
209,2022-03-28,The Economist,0,the immediate question is how much further russia is prepared to go to subdue its neighbour this map shows the areas of reported russian control
210,2022-03-28,The Economist,1,few expect the bloodshed to end soon this map shows the parts of the north east and south of ukraine where a force of 150000 troops is advancing
211,2022-03-01,The Economist,2,actors businessfolk and even some politicians are starting to speak out a flood of support for ukraine from around the world and disgust with the kremlinâs aggression is breaking through propaganda 
212,2022-03-01,The Economist,1,ukraineâs capital is not yet surrounded but may soon be
213,2022-03-01,The Economist,1,from âthe aggressive use of military forceâ to âthe new russia-china ententeâ americaâs former national security adviser says the crisis in ukraine has lessons to offer
214,2022-03-01,The Economist,0,volodymyr zelensky ukraineâs president made this appeal to the russian people who have protested against the fratricidal war that is being waged in their name 
215,2022-03-28,The Economist,1,the war may be entering an âuglier stageâ in which russia may not work as hard at avoiding civilian casualties
216,2022-03-01,The Economist,1,putin has a history of cracking down on those who oppose him the message to russias young people has been clear sit still and keep quietâ 
217,2022-03-28,The Economist,0,many residents and those arriving hope the city is peripheral to vladimir putinâs plans for ukraine
218,2022-03-28,The Economist,0,we are following the war between russia and ukraine closely
219,2022-03-01,The Economist,1,vladimir putinâs gamble on a quick war has failedânow he appears set on a grim one
220,2022-03-01,The Economist,1,for young people in russia opposition has long been met with intimidation 1843 magazine met some of them last year
221,2022-03-01,The Economist,0,the battle for online likes and shares is part of ukraineâs strategy to shape the views of western votersâand spur their governments into action
222,2022-03-01,The Economist,0,the russian invasion of ukraine is not going to plan the president has made three key mistakes
223,2022-03-28,The Economist,0,as a member of nato poland now seems like a safe haven for ukrainians any attack on it by russia would trigger the allianceâs mutual-defence provisions
224,2022-03-01,The Economist,0,the run-up to the invasion saw the websites of ukraines government and banks knocked temporarily offline and the discovery of malware designed to delete files on ukrainian computer systems
225,2022-03-28,The Economist,2,if vladimir putin has to destroy cities like kyiv and kharkiv in order to impose a puppet government on ukraine he will in an important sense have already lost the war
226,2022-03-28,The Economist,0,outside of russia the hashtag was found in 91 other countries including ukraine belarus america and china
227,2022-03-01,The Economist,2,âwe all help one another and try to comfort each otherâ since russiaâs invasion of ukraine began âthe intelligenceâ has been speaking daily to a resident of kharkiv
228,2022-03-01,The Economist,0,today on âthe intelligenceâ a war diary from a resident of kharkiv a new mining boom in the american west and some big news about âthe intelligenceâ over lunch
229,2022-03-01,The Economist,0,cyber-attacks were expected to play a key role in russias invasion of ukraine their absence is notable and there are several theories as to why
230,2022-03-28,The Economist,0,standing to attention in a way that would make any sergeant major weep with frustration new recruits to ukraineâs territorial defence force lined up âglory to the heroesâ they roared
231,2022-03-01,The Economist,1,almost all ukrainians say they wish to return to their homeland and rebuild it when the war ends but no one knows when or how that will happen
232,2022-03-28,The Economist,0,some half a million people have already left ukraine since the war began according to the un
233,2022-03-01,The Economist,2,public outcry against russiaâs attack on social media has translated into policy change by governments and businesses
234,2022-03-01,The Economist,2,many people are fleeing but ukraine is pulling together 
235,2022-03-01,The Economist,1,âthe real unknown remains whether the widespread spontaneous outrage is sustainable or whether the west lapses back into complacency regarding russia and other potential international aggressorsâ writes 
236,2022-03-01,The Economist,0,âcyber is the dog that hasnât barked in this war so farâ defence editor 
237,2022-03-28,The Economist,0,russiaâs biggest problem appears to be logistics
238,2022-03-01,The Economist,0,russian state-owned media organisations have been banned or restricted in many countries but inside russia how is its propaganda machine talking about the war in ukraine we explain 
239,2022-03-28,The Economist,1,the cost of war on civilians is becoming apparent our reporters on the ground in ukraine show how
240,2022-03-01,The Economist,2,within and outside russia people are joining the online protest against war in ukraine using the hashtag #ð½ðµñð²ð¾ð¹ð½ðµ which means âno warâ 
241,2022-03-01,The Economist,2,it is not clear how long russians will believe what their tvs are telling them the more people suspect what is really happening the more brutally vladimir putin may treat those who tell the truth about what he is doing to ukraine and to russia 
242,2022-03-28,The Economist,2,we found anti-war posts coming from russiaâs 50 largest cities across all 11 time zones and in 83 out of 85 federal subjects
243,2022-03-01,The Economist,0,âwho could imagine this in 2022â 
244,2022-03-28,The Economist,2,but a flood of support for ukraine from around the world is breaking through propaganda barriers
245,2022-03-01,The Economist,2,after images of russias attack began to circulate on social media the share of britons in favour of sending weapons to ukraine rose from 46% to 60%
246,2022-03-01,The Economist,1,vladimir putin claims russia is not conducting a war but a nearly bloodless military operation to free its ukrainian brothers but the truth is breaking through
247,2022-03-01,The Economist,1,volodymyr zelensky said that the missiles that recently fell on kharkiv were deliberately targeted at civilians and described the attack as a war crime
248,2022-03-02,The Economist,1,vladimir putinâs nuclear threat shows how much is going wrong for him in ukraine why wont russia leave its neighbour alone 
249,2022-03-02,The Economist,2,"""we stand with you this is not your fault""âmalala yousafzai sends a message to young people in ukraine"
250,2022-03-02,The Economist,0,what sounds like a humanitarian measure is also an act of war we explain why
251,2022-03-02,The Economist,1,western banks are significantly less exposed to russia than they were a decade ago but bank chiefs caution that broader financial contagion cannot be ruled out
252,2022-03-02,The Economist,0,in the 1990s and 2000s many western armies began substituting precision-guided munitions for traditional artillery but russia hung on to its guns
