name,time,commt,label
The Economist,Mar 25,"America put up with an undemocratic Turkey during the first cold war because it was an ally. It may do so in the new cold war, too",2
The Economist,Mar 26,"The political scientist believes the expansion of NATO was “reckless” and “provoked Russia”. Writing in a guest essay for The Economist, he explains why",1
The Economist,Mar 26,"Russia must be recognised for what it is: “a nation under a belligerent and ruthless dictatorship”, argues ",1
The Economist,Mar 26,People are “much more willing to accept higher gas prices if it helps Ukraine”. ,1
The Economist,Mar 25,"China frames the war in Ukraine as the latest example of global disorder provoked by the West, with a special emphasis on the sanctions being imposed on Russia",1
The Economist,Mar 26,War in Ukraine woke up Europe. The EU has made decision upon momentous decision but now a familiar sense of gridlock looms,1
The Economist,Mar 26,Poland’s Western partners may overlook abuses because of the essential role it is playing over Ukraine,2
The Economist,Mar 26,"The war has caused energy prices to soar, prompting the West to reconsider its relations with autocratic petrostates",2
The Economist,Mar 26,Plus the grandads defending Ukraine against Russia’s mighty army,2
The Economist,Mar 26,"“Simplistic and wrong”: Sir Adam Roberts responds to John Mearsheimer, who recently argued in a guest essay for The Economist that the expansion of NATO was reckless and provoked Russia",1
The Economist,Mar 26,"Weak evidence of efficacy and problematic side-effects, combined with the sky-high price, are to blame for the lack of enthusiasm",1
The Economist,Mar 26,The number fleeing Ukraine will soon exceed 4m—but that does not count those displaced within the country. Nearly a quarter of the population has been forced to move,1
The Economist,Mar 26,"This year’s Oscars will be a tough challenge for the hosts, as spectators are reeling from the pandemic and Russia’s invasion of Ukraine",1
The Economist,Mar 26,In nine other towns and cities talks between Russia and Ukraine have established humanitarian corridors through which civilians can escape. Such talks have not worked for Mariupol,2
The Economist,Mar 26,"The West should keep the bulk of its sanctions in place and maintain its military preparedness “until the Kremlin respects the rights of its people, and of those in other countries”, writes Russia’s former foreign minister in a guest essay",1
The Economist,Mar 26,"Questions remain over Ukraine’s EU membership, as well as funding for the cost of sanctions and stronger defence",1
The Economist,Mar 26,"Yoon Suk-yeol’s transition team estimates the price tag at just under $40m. But that does not include the cost of moving defence officials currently in situ, which is estimated to cost more than double this sum",1
The Economist,Mar 26,“The world matters a lot more.” ,2
The Economist,Mar 26,Together Russia and Ukraine account for 29% of international wheat sales and nearly 80% of sales of sunflower oil,1
The Economist,Mar 26,"Delivering coffins, repairing roads and posting inspiring videos on Facebook: the life of a Ukrainian mayor at war",1
The Economist,Mar 25,The war has set nerves jangling across Central Asia,1
The Economist,Mar 25,How far dare the allies go in waging a proxy war against a nuclear power? The answer keeps shifting,1
The Economist,Mar 26,It will be harder for European food companies to pass price rises to consumers than for American firms,1
The Economist,Mar 25,How far will America go in supporting Ukraine? On “Checks and Balance”:,2
The Economist,Mar 26,"The “Stans” are, broadly speaking, allies of Russia. But the aggressive expansionism of their former colonial master is testing that friendship to the limit",1
The Economist,Mar 26,"In eastern Europe, fear of Vladimir Putin had recast the energy transition as a geopolitical imperative even before he invaded Ukraine",1
The Economist,Mar 26,The consequences of Ukraine’s exodus are likely to be profound. Assumptions about how Europe reacts to large influxes of people have already been upended,2
The Economist,Mar 27,The war in Ukraine is pushing up costs just as shoppers become fed up with inflation,1
The Economist,Mar 26,Kazakhstan has long cultivated warm relations with Russia. But it is watching Vladimir Putin’s invasion of Ukraine with apprehension verging on horror,1
The Economist,Mar 27,"Russia’s invasion of Ukraine has sent fossil-fuel prices soaring, and put energy security at the top of the political agenda in Europe",1
The Economist,Mar 27,"Vladimir Putin “is throwing Russian soldiers like logs into a train’s furnace. What is more, they don't even bother burying them,” says Ukraine’s president in an exclusive interview",1
The Economist,Mar 27,"“If the Kremlin gets away with this war, and business relations return to normal in its aftermath, the country’s aggression will continue to grow—with or without Vladimir Putin,” Russia’s former foreign minister warns",1
The Economist,Mar 27,"Vladimir Putin won’t mourn the loss of what he calls a “fifth column” of traitors opposing the war, but the departure of wealth-creating, entrepreneurial talent will surely do further damage to an economy already reeling under sanctions",1
The Economist,Mar 26,"Western powers are not happy. Their policy remains to isolate the man whose war killed perhaps 500,000 people and displaced 13m",1
The Economist,Mar 27,"The patriarch of the Russian Orthodox church has called Vladimir Putin’s presidency “a miracle of God”, and has declared the current war a Godly affair",1
The Economist,Mar 27,"Andrei Kozyrev believes the prospect of a westernising, democratic and prosperous Ukraine is the nightmare of the Putin regime. “It will be a powerful motivation for Russians to follow suit,” the former Russian foreign minister writes",2
The Economist,Mar 27,"The war has made the promise of faster, cheaper, safer nuclear energy seem more attractive—and the existing nuclear-tech leaders, Russia and China, less appealing",0
The Economist,Mar 26,"Ukraine is responding to this loss of connectivity, with many of its roughly 15,000 amateurs now manning radios for military or intelligence units",1
The Economist,Mar 27,"The price of petrol tends not to have a rapid effect on how much people drive, because many trips are unavoidable",1
The Economist,Mar 26,The country stands to gain as the war in Ukraine sends oil prices soaring and countries that rely on Russian fuel scramble for alternatives,1
The Economist,Mar 27,"Speaking to The Economist in a government building fortified with sandbags and surrounded with tank traps, Ukraine’s president was disarmingly authentic and humane. Read our exclusive interview",2
The Economist,Mar 27,"Responding to a plea for help from Ukraine’s government, Elon Musk, head of SpaceX, quickly provided internet terminals that connect to Starlink’s satellites",2
The Economist,Mar 26,"The Indian Premier League has made a mark outside India, becoming a big cultural export and prompting nearly every other cricketing nation to copy its format",0
The Economist,Mar 27,Military kit is harder for Ukraine’s army to come by than men to use it. Even before the war the force was among the largest in Europe,1
The Economist,Mar 27,"“We believe in victory,” Ukraine’s president tells The Economist. “It’s impossible to believe in anything else. We will definitely win because this is our home, our land, our independence. It's just a question of time”",2
The Economist,Mar 27,"“Sanctions fatigue” appears to be kicking in within the EU, said Dmytro Kuleba, Ukraine’s foreign minister, in an interview with The Economist",1
The Economist,Mar 26,Joe Biden is in Europe meeting with allies as the conflict in Ukraine enters its second month. Is the war a turning point for American foreign policy? Our “Checks and Balance” podcast investigates https://econ.st/3IFyhhA,2
The Economist,Mar 27,Ukrainian mayors are leading by example in the war against Russia – and they’re doing a good job of it. From ,1
The Economist,Mar 27,Ukraine's military planners realised some time ago that these loitering munitions could be an effective equaliser for a smallish country threatened by a large neighbour,0
The Economist,Mar 27,"Ukraine’s president spoke in person to The Economist in what he and his staff have taken to calling “the fortress”. Here are highlights of what he told us—switching freely between English, Ukrainian and Russian. We have edited them for clarity",0
The Economist,Mar 27,"As all EU countries have banned flights from Russia, Russians looking to leave have few places left to go",1
The Economist,Mar 27,China has ambitions to bestride the world one day. But it remains exceptionally self-absorbed. Suffering in faraway Ukraine will not change that,0
The Economist,Mar 27,"It has become the most vivid example yet of how social media are changing the way that war is chronicled, experienced and understood, and how that, in turn, can change the course of a war itself",0
The Economist,Mar 27,“Where is safety in Ukraine?” The struggle to protect Odessa’s cultural monuments and records,1
The Economist,Mar 26,The Central Bank of Russia has begun buying the country’s sovereign debt and raised its benchmark interest rate to 20% https://econ.st/3Lh49L7,1
The Economist,Mar 27,"The EU is split into “sanctionistas”—those who want to isolate Russia more tightly—and states who oppose any tougher measures, such as Germany",1
The Economist,Mar 27,Chinese diplomats are struggling to balance a desire to support Russia against the risk of even greater tension between China and the West,0
The Economist,Mar 27,"“Welcome to the fortress.” Meeting the president, deep in the body of Ukraine’s war machine",2
The Economist,Mar 27,"Vladimir Putin’s war threatens not only Ukraine’s future, but Russia’s too",1
The Economist,Mar 28,"In an exclusive interview he divides NATO into four camps, praises America and Britain, and says Germany is trying to strike a balance between Russia and Ukraine",2
The Economist,Mar 27,"As troubled mining projects in Russia show, important investments can become victims of local conditions and geopolitics",1
The Economist,Mar 27,"The divisive lines of the cold war are back in Europe and beyond, ",1
The Economist,Mar 27,"Even if Joe Biden shows skill and sound judgment in the new cold war, he, like Harry Truman, may not get much credit for it until decades later",0
The Economist,Mar 28,Joe Biden is in Europe meeting with allies as the conflict in Ukraine enters its second month. Is the war a turning point for American foreign policy? Our “Checks and Balance” podcast investigates https://econ.st/3NmToIZ,2
The Economist,Mar 28,"Having failed to take Kyiv, Russia may focus on the east",1
The Economist,Mar 28,One of the many surprising failures of the Russian invasion force in Ukraine has been in radio communications,0
The Economist,Mar 28,"The practice of conscription itself, like so much else about Ukraine, is a relic that it has tried to shed",0
The Economist,Mar 28,"“We believe in victory,” Ukraine’s president tells The Economist. “It’s impossible to believe in anything else. We will definitely win because this is our home, our land, our independence. It's just a question of time” https://econ.st/36TV23R",2
The Economist,Mar 28,Outsiders’ decision to use Ukrainian place­-names is now a political declaration of support for Ukraine’s very right to exist,2
The Economist,Mar 28,Darkened night trains and layer upon layer of security: on “The Intelligence” our editors describe how they travelled to Volodymyr Zelensky’s “fortress” for an exclusive interview with Ukraine’s president,0
The Economist,Mar 27,"“I didn’t expect it to be this hard,” he says in an exclusive interview. “You can’t imagine what it means or how well you’ll do as president.” Inside Ukraine’s situation room",2
The Economist,Mar 28,"He divides NATO into four camps, praises America and Britain, and says Germany is trying to strike a balance between Russia and Ukraine",2
The Economist,Mar 28,"Ukraine’s closest neighbours are already feeling strained: Moldova is overwhelmed and parts of Poland are buckling. For economies, refugees could be both a burden and a boon",1
The Economist,Mar 28,"Ukrainians want to embrace the values held dear by other European nations. Alexei Navalny, the jailed leader of Russia’s opposition, wants the same for his country. Vladimir Putin cannot face either desire",0
The Economist,Mar 28,"Though he is tired, and fidgets endlessly, there is a calmness beneath the swagger. Meeting Ukraine's president in his “fortress” in Kyiv",2
The Economist,Mar 28,"As the physical war settles into a bloody grind of attrition, so will the competition for digital attention. Real life is increasingly lived online, both at peace and at war",0
The Economist,Mar 27,"As war broke out, fearful Russians stocked up on staple foods like sugar and flour https://econ.st/3NhVl9A",1
The Economist,Mar 28,"Oil prices have fallen from their recent highs, though they are still up by around 85% compared with a year ago. Governments are searching for substitutes",2
The Economist,Mar 28,Russia has floundered on the information battlefield inside Ukraine as much as on the physical one. Ukraine is also more wired than other recent war zones,1
The Economist,Mar 28,"“I don’t think Putin has been a bunker for two weeks or six months, but for more like two decades,” says Ukraine’s president",1
The Economist,Mar 29,"The socialist island is as repressive as Russia, albeit sunnier",0
The Economist,Mar 29, Negotiators from Russia and Ukraine arrive in Istanbul for peace talks. ,2
The Economist,Mar 29,Russia’s defence ministry recently held a briefing in which three generals declared that the war was a roaring success—despite much evidence to the contrary,1
The Economist,Mar 29,American officials insist that the war in Ukraine has not changed their underlying analysis: Russia presents an acute menace and China is the longer-term “pacing challenge”,1
The Economist,Mar 29,"Today on “The Intelligence”: dim prospects for today’s Ukraine peace talks, why Russian tanks have sprouted cages and what to make of Antarctica’s heatwave",1
The Economist,Mar 29,"“Ukraine needs to stand and survive,” says Volodymyr Zelensky’s chief of staff in an interview with The Economist. “If it doesn’t, Putin will never stop”",1
The Economist,Mar 28,Ukraine seems so far to be making a pretty good fist of keeping its networks going by other means,0
The Economist,Mar 29,"Slava Vakarchuk, Ukraine’s biggest rock star, is one of many artists to have joined the war effort. But he doesn’t consider himself a hero",0
The Economist,Mar 29,"Radios may be less lethal than weapons, but Russia’s failure to invest in communications is hobbling its forces",1
The Economist,Mar 28,"For countries willing to risk criticism and jump through logistical hoops, Russian oil is starting to look like a bargain",0
The Economist,Mar 28,"On the embargo on oil and gas that has been discussed but so far not implemented by Europe, he says: “We are hearing that the decision depends on whether Russia launches a chemical attack on us. This is not the right approach. We are not guinea pigs”",1
The Economist,Mar 29,"Ukraine-Russia peace talks have resumed in person, in Istanbul. On “The Intelligence” ",2
The Economist,Mar 30,"Vladimir Putin “props up” Alexander Lukashenko’s regime, says ",1
The Economist,Mar 29,Russia has a military doctrine which is supposed to guide the deployment of its nuclear forces,1
The Economist,Mar 29,"Technologies old and new are keeping Ukrainians in touch with the world. On “Babbage”, our science and technology podcast, host ",0
The Economist,Mar 30,"China won't endorse Vladimir Putin’s invasion of Ukraine, but it won’t condemn it either. Whose side is China really on, and what does its stance mean for global order? ",0
The Economist,Mar 30,“If the West wants to save its zone of peace and prosperity it must welcome Ukraine in and keep Russia out.” Russia’s former foreign minister argues that Putin’s regime is too dangerous to carry on business with when the war ends,1
The Economist,Mar 30,"Slava Vakarchuk, the frontman of Ukraine’s most popular band, is not a regular soldier. But nor is he a regular rock star",0
The Economist,Mar 30,"Some officials think the Russian announcement of a new phase in the war could be a ruse, intended to draw Ukrainian defenders away from the capital",1
The Economist,Mar 30,Russia developed its post-cold-war military doctrine of using nuclear weapons because it feared defeat in a conventional war against America,0
The Economist,Mar 30,The idea that Russia was only ever interested in Donbas is nonsense,0
The Economist,Mar 30,"How did the Syrian regime and its Russian ally use humanitarian gestures to bolster their war effort, and could the same thing happen in Ukraine?",1
The Economist,Mar 30,"Russia says it is changing its focus from Ukraine’s capital to the eastern region of Donbas. That, ",1
The Economist,Mar 30,"Young Americans were the most likely to say they sympathised more with Russia (10%), compared with 6% in France and just 1% in Britain",1
The Economist,Mar 30,Russia is pivoting largely because the first phase of its war has been a failure,2
The Economist,Mar 30,"Today on “The Intelligence”: Russia changes tack in Ukraine, the contradictions of Singapore’s anti-gay law and why Bolivia is awash with contraband Japanese cars",2
The Economist,Mar 29,Ukraine’s president surrounds himself with a war-time “pop-up government”. This is what it was like inside their “fortress”,0
The Economist,Mar 29,Joe Biden is in Europe meeting with allies as the conflict in Ukraine enters its second month. Is the war a turning point for American foreign policy? Our “Checks and Balance” podcast investigates https://econ.st/3iCph2c,2
The Economist,Mar 29,Ninety-two per cent of American respondents over the age of 64 said they sympathised more with Ukraine than with Russia. Yet just 56% of those aged 18-29 answered the same,0
The Economist,Mar 30,"“Culture is the best cement” while a nation is evolving, says Slava Vakarchuk. Amid the agony, the war in Ukraine is accelerating that process",1
The Economist,Mar 30, Russia’s failure to take Kyiv forces a rethink of its war aims.,2
The Economist,Mar 30,"As Russia’s trading position weakens, discounts on crude oil will go up. So will China’s purchases",1
TIME,Feb 28,"Watch: Romanians are joining efforts led by the government, companies, churches, and NGOs to provide refugees fleeing the violence in Ukraine with food, accommodation and transportation https://ti.me/3vmz7g5",1
TIME,Mar 1,"Ukrainian official says Belarus has joined the war, as Russia pummels Kharkiv https://ti.me/3svW52o",1
TIME,Mar 1,"Warner Bros. is halting the release of “The Batman” in Russia, just days before it was to open in theaters there https://ti.me/3IB7uDE",0
TIME,Mar 1,How Turkish drones became a key weapon for Ukraine against invading Russian forces,1
TIME,Feb 28,Ukraine seeks to join E.U. as round of talks with Russia ends https://ti.me/3hrRPus,1
TIME,Feb 28,The fight to save lives in Ukraine's largest children's hospital,0
TIME,Mar 1,Kyiv's central train station was packed on Monday as Ukrainians attempted to flee the capital.,0
TIME,Feb 28,Shell will pull out of energy investments in Russia over war https://ti.me/3M9hxlC,1
TIME,Feb 28,Russia's 40-mile long tank convoy closes in on Kyiv as shelling intensifies in Kharkiv,1
TIME,Mar 1,Suriya Jayanti: How Ukraine can avoid losing its electricity,0
TIME,Mar 1,"Wall Street's money experts now see the NATO alliance as stronger than ever, and a feeble-looking Russia shunned by much of the world",0
TIME,Mar 1,"In less than a week Putin's invasion of Ukraine has changed the geopolitical order and united the world against him, writes ",1
TIME,Feb 28,Russia shells Ukraine's second-largest city as 40-mile tank convoy closes in on Kyiv,1
TIME,Mar 1,The fight to save lives in Ukraine's largest children's hospital https://ti.me/3pqGtve,0
TIME,Mar 1,How open source intelligence became the world's window into the Ukraine invasion,0
TIME,Feb 28,"""It’s our duty to help."" ",2
TIME,Feb 28,"""Vladimir Putin is an old man scared of death trying to turn back time. Ukraine and Ukrainians are his blood sacrifice,"" writes Peter Pomerantsev. ""His invasion of their country is his attempt to forestall his personal, inevitable demise""",1
TIME,Mar 1,"“If we didn’t depend on fossil fuels, [Russia] would not have money to make this aggression,” said Svitlana Krakovska, a Ukrainian meteorologist.",1
TIME,Feb 28,"Ukraine’s largest pediatric facility has already evacuated patients with non-life-threatening conditions, but there are several children who cannot be removed from life support. Their numbers are growing as fighting around the Ukrainian capital intensifies https://ti.me/3K1bdLa",1
TIME,Mar 2,U.N. votes to demand an immediate halt to Moscow’s offensive against Ukraine https://ti.me/3C6xHaK,1
TIME,Mar 1,Watch live: President Biden delivers his first State of the Union address amid the war in Ukraine,0
TIME,Mar 2,They called Ukraine home. But they faced violence and racism when they tried to flee,0
TIME,Mar 2,Why Ukraine's COVID-19 problem is everyone's problem,0
TIME,Mar 2,"As Russia batters Ukraine, both sides say they are ready for more talks https://ti.me/3HuLcSQ",2
TIME,Mar 1,"Watch: ""We're coming for your ill begotten gains.""",0
TIME,Mar 1,Crypto investors have raised more than $30 million to help Ukraine—and they're still going,2
TIME,Mar 1,President Joe Biden's first State of the Union address of his presidency was split between attention to war abroad and worries at home.,0
TIME,Mar 1,President Joe Biden announced in his State of the Union address that the U.S. is banning Russian flights from its airspace in retaliation for the invasion of Ukraine. ,1
TIME,Mar 2,“The Ukrainians were let in and the foreigners were segregated to one side.” Foreigners fleeing Ukraine report discrimination at the border https://ti.me/3tq8tjG,0
TIME,Mar 2,"Ukraine has been struggling for years to break free of Russia's dominance over its electricity. Now it's time for Europe to welcome the country to its grid, says Suriya Jayanti",1
TIME,Mar 1,Russia faces war crime accusations as civilian casualties grow,1
TIME,Mar 2,Today's Daily Spotlight: How Turkish drones became a key weapon for Ukraine against invading Russian forces,0
TIME,Mar 2,"“The attack on Kharkiv is a war crime,” Ukrainian President Volodymir Zelensky said Tuesday. “After that, Russia is a terrorist state. No one will forgive. No one will forget”",1
TIME,Mar 2,Over $30 million in crypto assets have flowed into Ukraine since the start of the Russian invasion. Here's how it's working,0
TIME,Mar 1,"Since the beginning of Russia’s invasion, President Volodymyr Zelensky and other Ukrainian officials have repeatedly emphasized the tragic death toll of Russian soldiers, often expressing empathy for them and their families back home https://ti.me/3Hz0GFe",1
TIME,Mar 2,"“It’s our country and we love it, we need to be there.” Some Ukrainians are returning home from abroad to help with the war effort.",1
TIME,Mar 2,Watch: Footage released by the Ukrainian government shows the regional headquarters of the Ministry of Internal Affairs in Kharkiv in flames.,1
TIME,Mar 2,Why Russia hasn't launched major cyber attacks since the invasion of Ukraine,0
TIME,Mar 2,"Ukraine’s largest pediatric facility has already evacuated patients with non-life-threatening conditions, but there are several children who cannot be removed from life support. Their numbers are growing as fighting around the Ukrainian capital intensifies https://ti.me/3C6bMR0",1
TIME,Mar 3,“The Ukrainians were let in and the foreigners were segregated to one side.” Foreigners fleeing Ukraine report discrimination at the border https://ti.me/3pxkVNs,0
TIME,Mar 3,Watch: Ukraine and Russia agree on humanitarian corridors,2
TIME,Mar 2,U.S. postpones long range missile test amid nuclear tensions With Russia,0
TIME,Mar 2,"1 million people have fled Ukraine since Russian invasion, U.N. says",1
TIME,Mar 3,"Amid rising tensions over the war in Ukraine, the U.S. military has established a communications hotline with Russian forces to prevent an accidental clash between the two nuclear powers, two U.S. defense officials say.",1
TIME,Mar 2,Arik Burakovsky: Putin's invasion of Ukraine has sparked antiwar protests in Russia. They could be his undoing,1
TIME,Mar 2,"Watch: Ukrainian civilians blocked a road to prevent Russian troops from reaching a nuclear power plant in Enerhodar, southern Ukraine",1
TIME,Mar 2,How Volodymyr Zelensky defended Ukraine and united the world,2
TIME,Mar 2,Whether Russia’s military actions in Ukraine technically qualify as “war crimes” under the international rules of war is now an open question. What can be done about it is another.,1
TIME,Mar 3,"Historians on what Putin gets wrong about ""denazification"" in Ukraine",0
TIME,Mar 4,Tarik Cyril Amar: Putin’s war on Ukraine shows the dreadful power of history,1
TIME,Mar 3,Peter Kuras: What will Germany's biggest military since World War II look like? No one knows,0
TIME,Mar 3,"Watch: Russian troops shell Europe’s largest nuclear power station in Enerhodar, Ukraine. The plant accounts for about one quarter of Ukraine’s power generation https://ti.me/3sFki6B",1
TIME,Mar 3,"""I fear that history will repeat itself.""",1
TIME,Mar 3,Here are the biggest companies distancing themselves from Russia,1
TIME,Mar 4,"“At a time when even oil majors have written off billions of dollars in Russian assets overnight, the finance sector is missing in action.”",1
TIME,Mar 4,What Biden could do next to pressure Putin on Ukraine,0
TIME,Mar 4,"“Some of these students and scholars may be close to the end of their program of study, research, or training, and may not be able to immediately return to their home country during a war”",1
TIME,Mar 4,Some experts say that Western sanctions are likely to bring Russia and China closer together economically—and that they may pose a threat to the U.S. dollar’s dominance of the global financial system,1
TIME,Mar 4,"Throughout Ukraine's history, the sunflower has been a symbol of peace",2
TIME,Mar 4,“War is an infectious disease’s best friend”,1
TIME,Mar 5,"Biden finds unity on Ukraine, but little at home",0
TIME,Mar 5,Column: The Russian strategy guiding the invasion of Ukraine,1
TIME,Mar 5,Cease-fire attempt in Ukraine fails amid Russian shelling https://ti.me/3vIhyaq,1
TIME,Mar 5,Russia cracks down on dissenting media and blocks Facebook https://ti.me/3Ci0h9t,1
TIME,Mar 5,Inside the urgent race to secure Ukraine's nuclear plants https://ti.me/3hIjAit,0
TIME,Mar 6,Ukraine official says assault halts evacuations for a second time  https://ti.me/3vOeFoJ,1
TIME,Mar 6,"""I want Ukraine to exist."" A Ukrainian member of Parliament on why the West needs to do more",0
TIME,Mar 6,What it's like for Ukrainian journalists reporting on the war in their country,0
TIME,Mar 6,Mazen Darwish: I helped bring a Syrian war criminal to justice. But the work is just beginning,1
TIME,Mar 7,"From increasing military support to repositioning NATO troops, the U.S. needs to do much more—and fast—to help Ukraine defend against Russia, writes Wess Mitchell",1
TIME,Mar 7,"""Just as India can’t afford to lose Russia, the U.S. can’t afford to lose India,""writes ",0
TIME,Mar 6,Ukraine buys military gear with donated cryptocurrencies,1
TIME,Mar 7,The political impact of domestic energy costs has shaped U.S. foreign and national security policy for the better part of 50 years. Putin's attack on Ukraine may be changing that calculation,1
TIME,Mar 7,"“We’re not just telling the story, we’re living the story.”",0
TIME,Mar 7,Watch: Ukrainian President Volodymyr Zelenskyy says his country won't forgive Russia for killing unarmed people https://ti.me/3tDyJY8,1
TIME,Mar 6,Ukraine says Russia has stepped up shelling of residential areas,1
TIME,Mar 7,Inside the urgent race to secure Ukraine's nuclear plants,0
TIME,Mar 7,"""I want Ukraine to exist."" A Ukrainian member of parliament on why the West needs to do more",0
TIME,Mar 7,“War is an infectious disease’s best friend.” Why Ukraine’s COVID-19 problem is everyone’s problem,0
TIME,Mar 7,Ian Morris: The Russian grand strategy guiding the invasion of Ukraine,1
TIME,Mar 7,Why the Ukraine-Russia conflict will make potato chips more expensive,1
TIME,Mar 7,"By putting Russia’s nuclear forces on “high alert,” Putin is escalating to de-escalate. By raising the stakes, he hopes to break the West’s united front and bully Ukrainian leaders into giving in to his demands, writes Ian Morris",1
TIME,Mar 7,"""Americans should prepare to pay more for gas than they ever have before.""",1
TIME,Mar 7,How sanctions on Russia will hurt—and help—the world's economies,0
