,name,time,label,commt
14,Reuters,23-Mar,2,"Ukrainian ballerinas forced to flee war in their home country have found a temporary home at Berlin's main ballet company, which helps them with practice space, accommodation, clothing and career advice https://reut.rs/3LaZme1"
15,Reuters,23-Mar,0,"Ukraine uses facial recognition to identify dead Russian soldiers, minister says http://reut.rs/3JwRQd0"
16,Reuters,24-Mar,1,John Stoltzfus of Oppenheimer Asset Management says U.S. industrial stocks dropped immediately after Russia's invasion of Ukraine but have since recovered lost ground and are outperforming the wider market
17,Reuters,24-Mar,2,"Exclusive: The U.S. assesses that Russia's failure rate is as high as 60% for some of the precision-guided missiles it is using to attack Ukraine, three U.S. officials with knowledge of the intelligence say https://reut.rs/3DhR9lG"
18,Reuters,24-Mar,1,LIVE: NATO leaders meet in Brussels to discuss Ukraine
19,Reuters,24-Mar,1,Morning Bid: A month of war http://reut.rs/3izIrW9
20,Reuters,23-Mar,0,Ukraine and Russia: What you need to know right now http://reut.rs/3D5FXZh
21,Reuters,24-Mar,2,"U.S. to welcome up to 100,000 Ukrainians fleeing war amid broader aid effort http://reut.rs/3LbP6SJ"
22,Reuters,24-Mar,1,U.N. General Assembly again overwhelmingly isolates Russia over Ukraine http://reut.rs/3IF02qp
23,Reuters,24-Mar,1,German gas buyers raise the alarm over Russia's rouble demand http://reut.rs/3utRpK8
24,Reuters,24-Mar,2,War story: Ukraine's children use crayons to channel trauma http://reut.rs/3wAnLps
25,Reuters,24-Mar,0,"India says U.S., Russia ties 'stand on their own merit' despite Ukraine war http://reut.rs/3iB03kF"
26,Reuters,24-Mar,2,U.S. announces new Russia sanctions over Ukraine invasion http://reut.rs/3up5etw
27,Reuters,24-Mar,0,Russia's defence minister resurfaces after dropping out of view http://reut.rs/3Jxjt5L
28,Reuters,24-Mar,2,"Hollywood actor and director Sean Penn called on the American people to help Ukraine. Speaking at a news conference in Krakow, Poland, he said that if America didn't support Ukraine, they would lose sight of their values and flag"
29,Reuters,24-Mar,0,Kremlin says Russia's latest expulsion of U.S. diplomats is forced measure http://reut.rs/3JBUzBW
30,Reuters,24-Mar,1,"Asian shares struggle, oil edges lower as Ukraine worries linger http://reut.rs/3JHEjPV"
31,Reuters,24-Mar,1,"Oligarchs' wealth remains largely untouched in the European Union, weeks after Brussels approved measures to freeze the assets of dozens of billionaires and top officials linked to Russia following its invasion of Ukraine"
32,Reuters,25-Mar,2,Fitch withdraws Russia's ratings to comply with EU sanctions http://reut.rs/36vF687
33,Reuters,24-Mar,2,"U.S. stocks bounced back from a sharp fall in the previous session, as investors snapped up beaten-down chipmakers and big tech names and as oil prices dropped https://reut.rs/36kJ6Zm"
34,Reuters,25-Mar,0,"Vladimir Putin accused the West of trying to cancel Russia's rich musical and literary culture, including composers Pyotr Tchaikovsky and Sergei Rachmaninov, in the same way he said it had canceled 'Harry Potter' author J.K. Rowling https://reut.rs/3iBD0X2"
35,Reuters,25-Mar,2,"Sitting in front of a destroyed building, cellist Denys Karachevtsev brings a moment of serenity to the war-torn streets of Ukraine's Kharkiv as he plays Bach’s ‘Cello Suite No.5 in C minor’"
36,Reuters,25-Mar,0,"Russians have rushed to stock up on anti-depressants, sleeping pills and contraceptives among other products since the conflict in Ukraine began, data showed https://reut.rs/3iE1xe2"
38,Reuters,24-Mar,2,"The Biden administration announced that the United States plans to accept up to 100,000 Ukrainians fleeing Russia's invasion, while also pledging $1 billion in new humanitarian aid https://reut.rs/3iz43SF"
39,Reuters,25-Mar,1,Russia warns West: gas bills in roubles are just days away http://reut.rs/3tEOOOh
40,Reuters,25-Mar,1,Russia's Novatek halts growth projects other than Arctic LNG 2 - Kommersant http://reut.rs/3wS6I2n
41,Reuters,25-Mar,2,Commodities trading houses help keep Russian oil flowing http://reut.rs/3qBeeL1
42,Reuters,25-Mar,2,"Analysis: Bogged down in Ukraine, Russia moves war goalposts http://reut.rs/3DczVWI"
43,Reuters,24-Mar,2,Ukraine urges halt to Russia's assault as Biden heads to Poland http://reut.rs/3DdO9Xw
44,Reuters,25-Mar,1,"The head of the U.N. human rights team in Ukraine said that monitors had received more information about mass graves in the besieged port city of Mariupol, including one that appeared to hold 200 bodies https://reut.rs/3JGosBl"
45,Reuters,25-Mar,0,"Russians have stocked up a months worth of anti-depressants, sleeping pills and contraceptives among other medication since the conflict began in Ukraine https://reut.rs/3iE1xe2"
46,Reuters,25-Mar,0,"U.S. FCC adds Russia's Kaspersky, China telecom firms to national security threat list http://reut.rs/3tDt9Gq"
47,Reuters,25-Mar,1,Oil rebounds after reports of fire at Aramco oil facility http://reut.rs/3us1IOP
48,Reuters,25-Mar,2,"Russian precision-guided missiles are failing up to 60% of the time in Ukraine, three U.S. officials with knowledge of intelligence on the issue told "
49,Reuters,25-Mar,1,"Ukraine has retaken towns 35km east of Kyiv, UK says http://reut.rs/3LhtIeK"
50,Reuters,25-Mar,1,A group of African students who fled the war in Ukraine to the safety of Germany have described suffering discrimination and violence
51,Reuters,25-Mar,1,War in Ukraine causes German business morale to collapse http://reut.rs/3tGOGhx
52,Reuters,25-Mar,2,U.S. President Joe Biden got a firsthand look at international efforts to help some of the millions of Ukrainian war refugees in Poland and also spoke to American troops bolstering NATO's eastern flank https://reut.rs/3LhxvJm
54,Reuters,24-Mar,2,Russia running out of precision munitions in Ukraine war- Pentagon official http://reut.rs/36t95Ob
55,Reuters,25-Mar,1,"Yemen's Houthis said they launched attacks on Saudi energy facilities on Friday and the Saudi-led coalition said oil giant Aramco's petroleum products distribution station in Jeddah was hit, causing a fire in two storage tanks but no casualties https://reut.rs/3JMDfKD"
56,Reuters,24-Mar,2,"Oil drops as supply crunch fears ease, trading costs rise http://reut.rs/3NkJYgT"
57,Reuters,25-Mar,2,EXCLUSIVE Russia's Gazprom seeks gas payments in euros from India's GAIL http://reut.rs/3JI1MjU
58,Reuters,25-Mar,1,'We are lost': Yemenis face eighth year of struggle as war grinds on http://reut.rs/3NprNa8
59,Reuters,25-Mar,0,Ukraine war reverberates on Taiwan's 'frontline of democracy' http://reut.rs/35aKPzL
60,Reuters,25-Mar,1,"China's state-run Sinopec Group has suspended talks for a major petrochemical investment and a gas marketing venture in Russia, sources told "
61,Reuters,25-Mar,1,"The Matsu islands represent Taiwan's 'frontline of democracy' under the looming threat of its massive, more powerful neighbor, mainland China, and residents there say Russia's invasion of Ukraine has struck a nerve https://reut.rs/3wCm6Qi"
63,Reuters,24-Mar,0,"Natalia Shaposhnik and her daughter have lived in a train carriage beneath Kharkiv since Russia's invasion began. ‘One can say our living conditions are better than others,’ Shaposhnik said.  One month into war, here is how many Ukrainians are living https://reut.rs/3tLZWcx"
65,Reuters,24-Mar,2,"At an unprecedented triple summit in Brussels, transatlantic alliance NATO, G7 rich nations and European leaders called for humanitarian aid for Ukraine and denounced Moscow's invasion of its neighbour as 'barbarism' https://reut.rs/380dJDK"
66,Reuters,25-Mar,0,Russia's National Settlement Depository says Clearstream is blocking its account -Ifx http://reut.rs/382GIH5
67,Reuters,25-Mar,2,"Moscow signaled it was scaling back its ambitions in Ukraine to focus on territory claimed by Russian-backed separatists as Ukrainian forces went on the offensive, recapturing towns on the outskirts of the capital Kyiv https://reut.rs/3JFIbRx"
68,Reuters,25-Mar,0,"Cameroonian Calep Gabila was one among a group of African students who escaped Ukraine after Russia invaded the country. Now in Frankfurt, Gabila and others detailed the discrimination and violence they say they encountered"
69,Reuters,25-Mar,0,Ukraine and Russia: What you need to know right now http://reut.rs/3JHfUdo
70,Reuters,25-Mar,2,"Commodities traders have helped keep Russia's oil flowing through its Baltic and Black Sea ports in March, when some Western firms started to snub the market, according to ship tracking, traders and shipping sources"
72,Reuters,25-Mar,0,"U.S. sees Russia focusing on eastern Ukraine, senior U.S. defense official says http://reut.rs/3Nr9mC2"
73,Reuters,24-Mar,0,Russia more of a burden to China after Ukraine invasion- Pentagon official http://reut.rs/358EWD1
74,Reuters,25-Mar,1,"Analysis: When it comes to oil, the global economy is still hooked http://reut.rs/3NkwNwD"
75,Reuters,25-Mar,2,German ministry wants to halve dependence on Russian oil by summer -Spiegel http://reut.rs/3NlIRxB
76,Reuters,25-Mar,2,Commodities trading houses help keep Russian oil flowing http://reut.rs/3DagCNR
77,Reuters,25-Mar,0,Kremlin says U.S. talk of Russia using chemical weapons a tactic to divert attention http://reut.rs/3IEzNQW
79,Reuters,26-Mar,2,Thousands of Russians in Prague protest against war in Ukraine http://reut.rs/3JMKOBc
80,Reuters,26-Mar,2,"Ukraine war creates woes, also an opportunity for Africa, development bank president says http://reut.rs/3LggkHP"
81,Reuters,26-Mar,1,"Intense fighting raged in several parts of Ukraine, suggesting there will be no swift let-up in the month-old war, and President Joe Biden called Russian President Vladimir Putin a ‘butcher’ after meeting Ukrainian refugees in Poland https://reut.rs/3uyvvFx"
83,Reuters,26-Mar,1,"Ukraine's grain export situation worsening by the day, says agriculture minister http://reut.rs/3JKSFiC"
84,Reuters,26-Mar,0,U.S. to provide $100 million in civilian security assistance to Ukraine http://reut.rs/3No8cac
85,Reuters,26-Mar,2,"Ukrainian MasterChef winner Olga Martynovska, who fled to Prague with her six-year-old daughter to escape Russia's invasion, cooked up borsch and other traditional dishes to raise funds for those trapped back home https://reut.rs/3iGf98C"
86,Reuters,26-Mar,2,"Russian President Vladimir Putin ‘cannot remain in power,’ President Joe Biden said in a fiery speech pushing the world's democracies to unite to support Ukraine, though the White House said Biden was not calling for regime change https://reut.rs/3L9we70"
88,Reuters,25-Mar,2,"One month after Russia sent a massive invasion force into Ukraine, expecting a rapid victory, Moscow signaled it was scaling back its military ambitions https://reut.rs/3JFIbRx"
89,Reuters,26-Mar,2,Superheroes like Batman and Spiderman have been entertaining children sheltering in Ukraine's metro
90,Reuters,25-Mar,1,"A huge plume of black smoke could be seen rising over the Red Sea city after Yemen's Houthis launched attacks on Saudi energy facilities, hitting oil giant Aramco's petroleum products distribution station in Jeddah and causing a fire in two storage tanks https://reut.rs/3JMDfKD"
91,Reuters,26-Mar,2,"President Joe Biden said that Russian President Vladimir Putin ‘cannot remain in power,’ remarks a White House official said were meant to prepare the world's democracies for extended conflict over Ukraine, not back regime change in Russia https://reut.rs/3tJH0Lr"
92,Reuters,26-Mar,2,"Eat borsch, save Ukraine: Ukrainian MasterChef winner Olga Martynovska, who fled to Prague with her six-year-old daughter, dished up delicacies and other traditional dishes, to raise funds for those trapped back home https://reut.rs/3iGf98C"
93,Reuters,26-Mar,1,Japan's Kishida sees growing chance of Russia using nuclear weapons http://reut.rs/3DfLvjG
94,Reuters,26-Mar,2,Ukraine says 10 humanitarian corridors agreed for front line areas http://reut.rs/3tEWqQN
95,Reuters,26-Mar,1,"Russian forces have taken control of Ukraine's Slavutych, where workers at the defunct Chernobyl nuclear plant live, the governor of Kyiv region said https://reut.rs/3uyvvFx"
96,Reuters,26-Mar,0,"ICYMI: Three Russian cosmonauts arrived safely at the International Space Station, capping a flight of three hours and 10 minutes following liftoff of the Soyuz spacecraft from Russia's Baikonur Cosmodrome in Kazakhstan"
97,Reuters,26-Mar,2,'No War': Russia's Zvonareva sends message at Miami Open http://reut.rs/3Nobr1g
98,Reuters,26-Mar,0,President Joe Biden branded Russian President Vladimir Putin a ‘butcher’ during a meeting with refugees who fled the war in Ukraine to the Polish capital of Warsaw https://reut.rs/3JHL980
99,Reuters,26-Mar,1,Totalenergies says European gas price will climb unless accepted as long-term part of energy mix http://reut.rs/3uxaQ4Y
100,Reuters,25-Mar,2,"As Ukraine forces counter near Kyiv, Russia scales back goals http://reut.rs/3uwG8sI"
101,Reuters,26-Mar,2,"The Africa Development Bank is planning a $1 billion emergency food production initiative, its president said, to avoid a food crisis on the continent triggered by Russia's invasion of Ukraine"
102,Reuters,26-Mar,1,"Three powerful explosions heard near Ukraine's western Lviv city, says governor http://reut.rs/3iEiaGh"
103,Reuters,25-Mar,2,Cellist Denys Karachevtsev brings music to the empty streets of Ukraine's Kharkiv as he plays Bach’s ‘Cello Suite No.5 in C minor’ in front of a bombed building
104,Reuters,25-Mar,0,Ukraine launches NFT 'Museum of War' in crypto crowdfunding push http://reut.rs/3NkWtJv
105,Reuters,26-Mar,2,Superheroes entertain children in Ukraine's metro stations
106,Reuters,26-Mar,2,Totalenergies says decision to attract investment needed to calm gas price http://reut.rs/3Dim9SC
107,Reuters,25-Mar,2,Fitch withdraws Russia's ratings to comply with EU sanctions http://reut.rs/3tHPsuk
108,Reuters,26-Mar,2,Russia's Gazprom says gas exports to Europe via Ukraine continue http://reut.rs/3unPSoQ
109,Reuters,26-Mar,1,Russia conducts military drills on isles disputed with Japan -media http://reut.rs/3tGAkgZ
110,Reuters,26-Mar,2,"The African Development Bank is aiming to raise $1 billion to stave off a potential food crisis on the continent brought on by Russia's invasion of Ukraine, its president said"
111,Reuters,26-Mar,1,"Children among 44 severely wounded people trapped in Ukraine's Chernihiv city, mayor says http://reut.rs/3Dc8XOQ"
112,Reuters,26-Mar,0,UK says Russian sanctions could be lifted with Ukraine withdrawal http://reut.rs/36P4ANy
114,Reuters,26-Mar,1,ICYMI: Alibaba is taking action to prop up its tumbling share price. The e-commerce titan said that it would increase a planned share buyback to $25 billion https://reut.rs/3Nbqj31
115,Reuters,27-Mar,0,Russia warns media: don't report interview with Ukrainian president http://reut.rs/36vztH2
116,Reuters,26-Mar,2,Children play with superheroes in Ukraine's metro stations
117,Reuters,27-Mar,1,Pope evokes spectre of Ukraine war sparking global conflict http://reut.rs/3uzLUtl
118,Reuters,27-Mar,2,"Secretary of State Antony Blinken clarified comments made by President Joe Biden in Warsaw, saying the U.S. does not ‘have a strategy for regime change in Russia’ https://reut.rs/35g2DcN"
119,Reuters,27-Mar,1,Russia and Azerbaijan trade barbs over Nagorno-Karabakh http://reut.rs/3iHLWKd
120,Reuters,27-Mar,1,Russia's Deripaska says on Biden remarks: 'hellish mobilisation' is underway http://reut.rs/3IHXyHW
121,Reuters,27-Mar,0,Lebanon asks to be exempt from Algeria's sugar export ban http://reut.rs/36NtltB
122,Reuters,26-Mar,1,Ukraine asks Red Cross not to open office in Russia's Rostov-on-Don http://reut.rs/36Lwev0
123,Reuters,27-Mar,0,"Refugees fleeing the Russian invasion of Ukraine arrived in Romania by ferry, many of them from southern Ukraine"
124,Reuters,27-Mar,2,U.S. diplomats say no regime change policy for Russia http://reut.rs/3iDXVsb
126,Reuters,27-Mar,2,Russia's Gazprom says gas shipments via Ukraine to Europe continue - Interfax http://reut.rs/3iCwNKf
127,Reuters,27-Mar,2,"U.S. has no strategy of regime change in Russia, Blinken says http://reut.rs/3Dcmru9"
128,Reuters,26-Mar,0,"Ukraine says 5,208 people were evacuated from cities on Saturday http://reut.rs/3wGupdU"
129,Reuters,27-Mar,2,"Ukraine ready to discuss adopting neutral status in Russia peace deal, Zelenskiy says http://reut.rs/3qBOaze"
130,Reuters,26-Mar,2,"Ukraine leader demands Western nations give arms, asks if they're afraid of Moscow http://reut.rs/35drMVm"
131,Reuters,27-Mar,2,"Secretary of State Antony Blinken clarified that the U.S. does not have a policy of regime change in Russia, as supporters and critics of President Joe Biden played down his declaration that Russian President Vladimir Putin ‘cannot remain in power’ https://reut.rs/35g2DcN"
132,Reuters,26-Mar,0,Rockets strike Ukraine's Lviv as Biden says Putin 'cannot remain in power' http://reut.rs/3DdqOoJ
133,Reuters,26-Mar,2,Superheroes at Ukraine's metro stations draw crowds
134,Reuters,27-Mar,1,Oil slumps as Shanghai shuts to curb COVID surge http://reut.rs/3JNqXS7
135,Reuters,27-Mar,0,Ukrainian refugees fleeing conflict crowd ferries to cross the Danube
136,Reuters,27-Mar,2,India leans toward continued import of Russian coking coal http://reut.rs/3DgWU2R
137,Reuters,27-Mar,0,Ukraine: Russian referendum in occupied territory would have no legal basis http://reut.rs/3NurmLQ
138,Reuters,26-Mar,0,Zurich Insurance removes Z symbol after letter used to show support for Ukraine war http://reut.rs/36uZGFO
140,Reuters,27-Mar,1,WATCH: Alibaba has lifted the size of its planned share buyback to a record $25 billion as it attempts to prop up its cratering stock price https://reut.rs/3Nbqj31
141,Reuters,27-Mar,0,Lebanon asks to be exempt from Algeria's sugar export ban http://reut.rs/3JMSPWz
142,Reuters,27-Mar,1,"Russia hits Ukraine's Lviv with cruise missiles, defence ministry says http://reut.rs/3qEsfaR"
143,Reuters,27-Mar,2,France's Macron calls for restraint in words and actions regarding Ukraine conflict http://reut.rs/3qDKIE8
144,Reuters,28-Mar,1, stories you need to know today: President Volodymyr Zelenskiy insists on Ukraine's 'territorial integrity' ahead of further peace talks with Russia
145,Reuters,28-Mar,1, “War means tough choices in Ukraine's vast child protection system” by 
146,Reuters,28-Mar,1,Putin does not seem ready for compromise on Ukraine -U.S. official http://reut.rs/3IZkqCZ
147,Reuters,28-Mar,1,"Ukraine talks to resume; Kremlin calls Biden remarks ""alarming"" http://reut.rs/3uCvh0c"
148,Reuters,28-Mar,1,"Apple plans to cut the output of its iPhones and AirPods as the Ukraine crisis and inflation start to weigh on demand for consumer electronics, according to a media report https://reut.rs/3qISNHL"
149,Reuters,28-Mar,2,India's ONGC sells Russia's Sokol oil to Indian refiners- sources http://reut.rs/3LirewU
150,Reuters,27-Mar,2,Asia shares and oil slip; yen sinks as BOJ stays super-loose http://reut.rs/3uriHAM
151,Reuters,28-Mar,2,"With peace talks between Russia and Ukraine set to take place in Turkey this week, Ukrainian President Volodymyr Zelenskiy has insisted on the territorial integrity of his country after earlier suggesting he was ready for a compromise https://reut.rs/36XvIKE"
152,Reuters,28-Mar,0,"Wealthy Russians are pouring money into real estate in Turkey and the United Arab Emirates. Both countries have criticized Russia's invasion of Ukraine, but they still have good ties with Moscow https://reut.rs/36sCUyx"
153,Reuters,28-Mar,1,"Wheat shortages and increasing global fuel prices following the war in Ukraine have left thousands of Tunisians under further strain, in a country already struggling with political deadlock and a public finance crisis"
154,Reuters,27-Mar,0,Support for Japan government rises on response to Ukraine invasion - survey http://reut.rs/3IM0pj5
155,Reuters,28-Mar,0,"Apple is planning to lower iPhone and AirPod production due to a demand slowdown caused by the Ukraine crisis and rising inflation, the Nikkei newspaper reported https://reut.rs/3qISNHL"
156,Reuters,27-Mar,2,Biden says he wasn� calling for regime change in Russia http://reut.rs/3NqdD8A
157,Reuters,28-Mar,0,China's DJI rejects claim that Russian military uses its drones in Ukraine http://reut.rs/3Lk57pN
158,Reuters,28-Mar,2,Oil hit by Shanghai shutdown; yen sinks as BOJ defies the yield tide http://reut.rs/3DfD9c1
159,Reuters,28-Mar,0,"As war rages in Ukraine, citizens in Tunisia wander between empty supermarket shelves and bread line ups amid a deepening political and financial crisis impacting the country"
160,Reuters,28-Mar,0,Analysis: Biden's Putin power remark raises questions about long-term Russia strategy http://reut.rs/3iLipPO
161,Reuters,28-Mar,2,"LIVE: Britain's Ben Wallace, Liz Truss speak on Ukraine in parliament"
162,Reuters,28-Mar,0,Russia's Novaya Gazeta paper suspends activity after second warning http://reut.rs/3iJmpAp
163,Reuters,28-Mar,1,"Russia will not supply gas to Europe for free, Kremlin says http://reut.rs/3tJMe9M"
164,Reuters,28-Mar,1,Russia to restrict visas for people from 'unfriendly countries' http://reut.rs/3tM0gYB
165,Reuters,27-Mar,2,Oil slumps as Shanghai lockdown raises fears over drop in demand http://reut.rs/3uviw7D
166,Reuters,28-Mar,0,"Before Russia's invasion, Ukraine had 100,000 children living in nearly 700 state shelters, boarding schools and baby homes, according to U.N. children's agency Unicef 2/8"
167,Reuters,28-Mar,2,Ukraine receives a mostly silent salute at Oscars ceremony http://reut.rs/3uBwOUr
168,Reuters,27-Mar,0,VIDEO CORRECTION: Secretary of State Blinken reaffirmed continued U.S. commitment to a two-state solution for the Israeli-Palestinian conflict during a meeting with Palestinian President Abbas https://reut.rs/3uvpz0d We are deleting a previous video containing incorrect details
169,Reuters,27-Mar,2,Oil falls as Shanghai lockdown boosts fears over weaker demand http://reut.rs/3uBQS8W
170,Reuters,28-Mar,1,"BREAKING: Nearly 5,000 people have been killed in the siege of Ukraine's Mariupol, the mayor's office says https://reut.rs/3iJtS2A"
171,Reuters,28-Mar,1,Breakingviews - Russia’s gold reserves buy Putin a few options
172,Reuters,28-Mar,1,"Rocket strikes oil depot in Ukraine's northwestern Rivne region, says governor http://reut.rs/3uCyz3w"
174,Reuters,28-Mar,0,"Oil producers as 'superheroes' is not how it works, UAE minister says http://reut.rs/38bPJ0F"
175,Reuters,27-Mar,0,"Retired U.S. Army Colonel Liam Collins, who helped train and reform Ukraine's military, said that it has turned from a ‘decrepit’ state into a force effective at fending off Russian advances in major Ukrainian cities"
176,Reuters,28-Mar,2,"UAE will work with OPEC+ to stabilise oil market, says energy minister http://reut.rs/3iGOxo0"
177,Reuters,28-Mar,0,LIVE: U.N. Secretary-General Guterres speaks about Ukraine at U.N. stakeout
178,Reuters,28-Mar,2,"Greece says it can boost sunflower oil production, if needed http://reut.rs/3tLI7u1"
180,Reuters,28-Mar,0,Ukraine intelligence publishes names of 620 alleged Russian agents http://reut.rs/3uvm21U
181,Reuters,28-Mar,0,"The ministry for social policy said 179 state homes — roughly a quarter of the total — had been evacuated as of March 19, and caregivers face tough choices over whether to reunite children with parents or guardians if it gets them further from the war zone 5/8"
182,Reuters,28-Mar,1,"Ukraine's vast state childcare program, a legacy of the government's prominent role in society during Soviet times, is struggling as war forces thousands to flee their homes, often making tracing relatives impossible https://reut.rs/3NvvBqr 1/8"
183,Reuters,28-Mar,0,Taiwan sees Ukraine war helping Chinese yuan's internationalisation http://reut.rs/3NnSnjQ
184,Reuters,28-Mar,1,"Morning Bid: The war in Ukraine, hard-pressured supply chains, a resurgent pandemic amid buoyant inflation is making this monetary tightening cycle particularly hard to maneuver"
185,Reuters,28-Mar,1,UAE says energy market needs Russian oil http://reut.rs/36RwpEY
186,Reuters,28-Mar,1,"Nearly 5,000 people killed in siege of Ukraine's Mariupol - mayor's office http://reut.rs/3iP7lBb"
187,Reuters,28-Mar,0,Analysis: Locked Russian assets add to war woes for British pension funds http://reut.rs/3tJbsVO
188,Reuters,27-Mar,2,Ukraine insists on territorial integrity as talks loom http://reut.rs/3qHKPyy
189,Reuters,28-Mar,0,"'The children come from places where there's fighting,' Lviv shelter director Svitlana Havryliuk told "
190,Reuters,28-Mar,0,Ukraine and Russia: What you need to know right now http://reut.rs/3LoYGSk
191,Reuters,29-Mar,0,Oligarch Abramovich attending Russia-Ukraine talks in Istanbul http://reut.rs/35kAZeJ
192,Reuters,29-Mar,1,Factbox: Global oil supply disruptions approaching 5-6 mln bpd http://reut.rs/3j3nGmh
193,Reuters,29-Mar,1,"Florida governor Ron DeSantis signs a bill limiting LGBTQ instruction in schools, Russian billionaire Roman Abramovich attends the Ukraine-Russia talks in Istanbul, and more. Here are  stories you need to know today"
194,Reuters,29-Mar,0,"Russian hotel owner Mikhail Golubtsov says it was partly the shame he feels over Russia's invasion of Ukraine that persuaded him and his family to take in Ukrainians fleeing the fighting - 34 so far, and counting"
195,Reuters,29-Mar,0,Ukrainian TikToker Alina Volik takes 
196,Reuters,28-Mar,0,British intelligence says Russia's Wagner Group deployed to eastern Ukraine http://reut.rs/3uxVddn
197,Reuters,28-Mar,0,"U.S. President Joe Biden said his remark that Russian President Vladimir Putin should not remain in power reflected his own moral outrage at Russia's invasion of Ukraine, not a U.S. policy shift https://reut.rs/3qFcErm"
198,Reuters,28-Mar,2,"U.S. President Joe Biden submitted a $5.79 trillion budget plan to Congress that calls for record peacetime military spending and further aid for Ukraine, while raising taxes for billionaires and companies and lowering government deficits https://reut.rs/3qItqWw"
199,Reuters,28-Mar,2,Ukraine said it was hoping that the first face-to-face peace talks with Russia in over two weeks could lead to a ceasefire https://reut.rs/3uzI7wq
200,Reuters,29-Mar,1,Russia steps up economic retaliation with Eurobond rouble buyback offer http://reut.rs/3JPH29X
201,Reuters,29-Mar,1,"More than a month since Russia's invasion, the defense of Kyiv played out in ferocious fighting in villages near the capital. When the histories are written such towns and villages may be minor details, but they are where the Russian advance was halted"
202,Reuters,29-Mar,1,Ghana's small business owners fear a proposed electronic payments tax could price them out of the digital economy https://reut.rs/3iN7iWS
203,Reuters,29-Mar,2,Abramovich appears at Ukraine-Russia talks in Istanbul http://reut.rs/3LrK7NN
204,Reuters,29-Mar,0,Russia's Transneft caps oil pipeline intake on brimming storage http://reut.rs/3uDaARL
205,Reuters,29-Mar,2,Ukraine offers neutrality in exchange for NATO-style security guarantees at Russia talks http://reut.rs/3IO88gA
206,Reuters,29-Mar,0,Seven killed in Ukraine's Mykolaiv city as rocket blasts hole in regional headquarters http://reut.rs/3LnWLxl
208,Reuters,29-Mar,2,LIVE: The U.N. Security Council is briefed on Ukraine's humanitarian situation
209,Reuters,28-Mar,2,"Air raid sirens sounded across Ukraine before dawn as Ukrainian and Russian negotiators prepared to meet in Turkey for face-to-face talks, with Kyiv seeking a ceasefire without compromising on territory or sovereignty https://reut.rs/37YE7ha"
210,Reuters,29-Mar,1,"Oil prices rise on tight supplies, stable demand http://reut.rs/3IKh9ah"
211,Reuters,29-Mar,1,Russia accuses U.S. of massive 'cyber aggression' http://reut.rs/3J3cb8Z
212,Reuters,29-Mar,1,The world economy will be hit if oil supplies are threatened-Saudi energy minister http://reut.rs/3INfTmM
213,Reuters,29-Mar,1,Three killed in Ukraine's Mykolaiv city as rocket blasts hole in regional HQ http://reut.rs/3LlX7Vk
214,Reuters,29-Mar,0,"Just as Ghana's small business owners begin to shift from cash-based sales, many believe a proposed electronic payments tax, locally known as the 'e-levy,' will price them out of the digital economy https://reut.rs/3iN7iWS"
215,Reuters,29-Mar,0,"War knocks French, German consumer morale back more than expected http://reut.rs/3tNeKaE"
216,Reuters,29-Mar,0,India buys Russian sunoil at record high price as Ukraine supplies halt http://reut.rs/36URVsy
